Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em MAIO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
28;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 61 ; 112.177.772 ; 20 ; 4.169.332 ; 38 ; 55.786.847 ; 31 ; 2.713.471 ; 150 ; 174.847.422 ; 46 ; 135.267.237 ; 73 ; 299.522.953 ; 119 ; 434.790.190 ; 269 ; 609.637.612 ;;;;
29;62.232.889;BANCO DAYCOVAL S.A.; 229 ; 24.790.008 ; 394 ; 18.348.595 ; 442 ; 47.012.410 ; 1.942 ; 36.900.814 ; 3.007 ; 127.051.826 ; 334 ; 229.860.881 ; 1.315 ; 230.725.106 ; 1.649 ; 460.585.987 ; 4.656 ; 587.637.813 ;;;;
30;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 26 ; 24.973.235 ;;; 37 ; 15.207.511 ; 71 ; 44.970.315 ; 134 ; 85.151.061 ; 7 ; 247.579.185 ; 5 ; 200.780.080 ; 12 ; 448.359.265 ; 146 ; 533.510.326 ;;;;
31;68.900.810;BANCO RENDIMENTO S.A.; 5 ; 681.272 ; 66 ; 2.683.059 ; 6.351 ; 46.887.233 ; 1.582 ; 72.412.569 ; 8.004 ; 122.664.133 ; 313 ; 219.304.412 ; 6.219 ; 185.509.777 ; 6.532 ; 404.814.190 ; 14.536 ; 527.478.322 ;;;;
32;28.195.667;BANCO ABC BRASIL S.A.; 46 ; 15.109.261 ; 80 ; 27.565.563 ; 54 ; 69.921.980 ; 276 ; 91.733.311 ; 456 ; 204.330.116 ; 37 ; 177.583.644 ; 29 ; 92.434.264 ; 66 ; 270.017.908 ; 522 ; 474.348.023 ;;;;
33;78.632.767;BANCO OURINVEST S.A.;;; 30 ; 3.047.142 ; 144 ; 3.175.510 ; 470 ; 10.438.833 ; 644 ; 16.661.485 ; 240 ; 219.423.341 ; 5.122 ; 208.302.857 ; 5.362 ; 427.726.199 ; 6.006 ; 444.387.683 ;;;;
34;15.114.366;BANCO BBM S/A; 24 ; 13.118.434 ;;; 13 ; 48.632.273 ; 39 ; 1.241.182 ; 76 ; 62.991.888 ; 12 ; 156.228.669 ; 22 ; 211.719.121 ; 34 ; 367.947.790 ; 110 ; 430.939.679 ;;;;
35;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 118 ; 56.655.970 ; 104 ; 13.032.562 ; 56 ; 101.559.456 ; 168 ; 20.008.890 ; 446 ; 191.256.878 ; 16 ; 22.284.447 ; 21 ; 147.500.000 ; 37 ; 169.784.447 ; 483 ; 361.041.325 ;;;;
36;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 17 ; 32.550.000 ; 1 ; 350.000 ; 13 ; 5.204.968 ; 49 ; 16.310.343 ; 80 ; 54.415.311 ; 72 ; 150.239.536 ; 73 ; 140.311.136 ; 145 ; 290.550.672 ; 225 ; 344.965.983 ;;;;
37;49.336.860;ING BANK N.V.; 30 ; 99.392.873 ; 4 ; 2.612.600 ; 5 ; 24.622.685 ; 57 ; 65.056.035 ; 96 ; 191.684.193 ; 7 ; 80.944.390 ; 5 ; 10.984.960 ; 12 ; 91.929.350 ; 108 ; 283.613.543 ;;;;
38;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 807 ; 85.038.709 ; 1.080 ; 49.945.206 ; 321 ; 3.619.515 ; 1.303 ; 14.716.127 ; 3.511 ; 153.319.557 ; 37 ; 45.188.636 ; 53 ; 68.904.429 ; 90 ; 114.093.065 ; 3.601 ; 267.412.622 ;;;;
39;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 2 ; 507.345 ;;; 96 ; 22.791.225 ; 92 ; 35.806.536 ; 190 ; 59.105.106 ; 28 ; 97.058.473 ; 28 ; 80.057.978 ; 56 ; 177.116.451 ; 246 ; 236.221.557 ;;;;
40;03.532.415;BANCO ABN AMRO S.A.; 25 ; 111.858.015 ;;; 11 ; 1.334.352 ; 13 ; 192.891 ; 49 ; 113.385.258 ; 1 ; 500.000 ; 62 ; 113.480.000 ; 63 ; 113.980.000 ; 112 ; 227.365.258 ;;;;
41;03.609.817;BANCO CARGILL S.A.; 13 ; 106.120.327 ; 2 ; 2.514.569 ; 2 ; 229.583 ; 12 ; 81.147.982 ; 29 ; 190.012.460 ; 4 ; 6.000.000 ; 8 ; 28.500.000 ; 12 ; 34.500.000 ; 41 ; 224.512.460 ;;;;
42;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 181 ; 136.434 ; 2.365 ; 5.600.940 ; 2.546 ; 5.737.374 ; 557 ; 111.647.800 ; 96 ; 106.149.240 ; 653 ; 217.797.040 ; 3.199 ; 223.534.414 ;;;;
43;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 4 ; 12.000.000 ;;; 33 ; 32.460.913 ; 49 ; 24.234.251 ; 86 ; 68.695.165 ; 31 ; 64.796.981 ; 42 ; 79.801.231 ; 73 ; 144.598.212 ; 159 ; 213.293.377 ;;;;
44;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS; 3 ; 25.893 ; 1.218 ; 80.231.281 ; 220 ; 1.691.318 ; 2.668 ; 16.863.357 ; 4.109 ; 98.811.849 ; 1.041 ; 96.113.441 ; 18 ; 784.174 ; 1.059 ; 96.897.615 ; 5.168 ; 195.709.464 ;;;;
45;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 60 ; 629.748 ; 322 ; 6.784.110 ; 646 ; 7.052.062 ; 1.596 ; 49.589.335 ; 2.624 ; 64.055.255 ; 2.847 ; 89.678.231 ; 105 ; 40.856.929 ; 2.952 ; 130.535.160 ; 5.576 ; 194.590.415 ;;;;
46;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;;;; 11 ; 95.580.000 ; 11 ; 95.580.000 ; 11 ; 95.580.000 ;;; 11 ; 95.580.000 ; 22 ; 191.160.000 ;;;;
