Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Set/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
62;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 137 ; 442.934.715 ; 85 ; 227.224.173 ; 222 ; 670.158.889 ; 44 ; 213.740.535 ; 90 ; 428.453.309 ; 134 ; 642.193.843 ; 356 ; 1.312.352.732 ;
63;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 68 ; 142.278.564 ; 161 ; 16.812.188 ; 146 ; 286.763.480 ; 428 ; 91.094.086 ; 803 ; 536.948.318 ; 72 ; 173.774.260 ; 75 ; 494.786.706 ; 147 ; 668.560.966 ; 950 ; 1.205.509.284 ;
64;60.889.128;BANCO SOFISA S.A.; 1.041 ; 250.668.097 ; 1.028 ; 93.961.436 ; 131 ; 228.965.217 ; 597 ; 27.452.853 ; 2.797 ; 601.047.604 ; 40 ; 29.556.843 ; 87 ; 362.592.671 ; 127 ; 392.149.513 ; 2.924 ; 993.197.117 ;
65;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 247 ; 299.141.207 ; 346 ; 43.034.695 ; 416 ; 52.622.606 ; 592 ; 103.862.262 ; 1.601 ; 498.660.770 ; 305 ; 108.994.759 ; 251 ; 340.242.389 ; 556 ; 449.237.148 ; 2.157 ; 947.897.918 ;
66;59.118.133;BANCO LUSO BRASILEIRO S.A.; 611 ; 70.365.033 ; 2.089 ; 269.930.954 ; 324 ; 74.340.786 ; 1.621 ; 50.179.096 ; 4.645 ; 464.815.870 ; 2.072 ; 326.318.527 ; 847 ; 150.619.843 ; 2.919 ; 476.938.370 ; 7.564 ; 941.754.240 ;
67;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 1.078 ; 20.628.783 ; 9.615 ; 248.681.699 ; 4.634 ; 94.751.184 ; 9.809 ; 132.697.641 ; 25.136 ; 496.759.306 ; 5.429 ; 336.971.513 ; 505 ; 71.043.924 ; 5.934 ; 408.015.438 ; 31.070 ; 904.774.744 ;
68;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 1.361 ; 31.459.745 ; 11.735 ; 271.919.473 ; 3.002 ; 48.723.361 ; 9.599 ; 108.306.210 ; 25.697 ; 460.408.790 ; 4.350 ; 325.361.977 ; 332 ; 25.236.744 ; 4.682 ; 350.598.720 ; 30.379 ; 811.007.511 ;
69;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 28 ; 884.597 ; 679 ; 316.494.094 ; 686 ; 89.867.161 ; 1.383 ; 65.691.225 ; 2.776 ; 472.937.078 ; 813 ; 309.789.563 ; 142 ; 18.422.000 ; 955 ; 328.211.563 ; 3.731 ; 801.148.641 ;
70;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 1.904 ; 41.214.213 ; 9.128 ; 279.783.692 ; 4.496 ; 66.618.725 ; 4.970 ; 60.811.894 ; 20.498 ; 448.428.523 ; 3.671 ; 292.247.471 ; 642 ; 59.480.537 ; 4.313 ; 351.728.008 ; 24.811 ; 800.156.531 ;
71;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 48.238 ; 348.169.121 ; 89.389 ; 338.943.566 ; 137.627 ; 687.112.688 ; 252 ; 50.603.168 ; 808 ; 61.742.669 ; 1.060 ; 112.345.837 ; 138.687 ; 799.458.525 ;
