Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em FEVEREIRO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
26;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 96 ; 273.539.676 ; 13 ; 13.153.622 ; 86 ; 103.856.459 ; 143 ; 77.090.621 ; 338 ; 467.640.378 ; 78 ; 226.657.100 ; 87 ; 509.235.007 ; 165 ; 735.892.107 ; 503 ; 1.203.532.484 ;
27;68.900.810;BANCO RENDIMENTO S.A.; 65 ; 7.777.136 ; 140 ; 48.547.624 ; 278.019 ; 394.723.327 ; 3.197 ; 111.683.858 ; 281.421 ; 562.731.944 ; 1.032 ; 157.604.484 ; 8.304 ; 417.478.729 ; 9.336 ; 575.083.213 ; 290.757 ; 1.137.815.157 ;
28;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 8 ; 21.623.525 ; 15 ; 2.112.063 ; 9 ; 156.564.535 ; 101 ; 16.263.575 ; 133 ; 196.563.698 ; 24 ; 244.155.926 ; 34 ; 529.586.396 ; 58 ; 773.742.322 ; 191 ; 970.306.020 ;
29;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 60 ; 3.953.710 ; 605 ; 32.554.513 ; 181 ; 10.826.892 ; 11.592 ; 23.568.472 ; 12.438 ; 70.903.587 ; 366 ; 460.900.021 ; 413 ; 418.654.552 ; 779 ; 879.554.573 ; 13.217 ; 950.458.160 ;
30;58.160.789;BANCO SAFRA S.A.; 197 ; 136.259.202 ; 839 ; 161.494.002 ; 814 ; 213.775.822 ; 2.086 ; 143.069.029 ; 3.936 ; 654.598.055 ; 294 ; 128.396.637 ; 289 ; 161.645.418 ; 583 ; 290.042.054 ; 4.519 ; 944.640.109 ;
31;62.232.889;BANCO DAYCOVAL S.A.; 431 ; 98.810.616 ; 1.170 ; 132.265.623 ; 88.974 ; 125.150.113 ; 2.903 ; 153.392.969 ; 93.478 ; 509.619.321 ; 375 ; 205.858.623 ; 1.103 ; 190.407.496 ; 1.478 ; 396.266.120 ; 94.956 ; 905.885.440 ;
32;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 52 ; 149.566.121 ; 213 ; 31.332.919 ; 51 ; 78.093.567 ; 96 ; 42.660.354 ; 412 ; 301.652.962 ; 76 ; 176.240.978 ; 101 ; 386.027.105 ; 177 ; 562.268.083 ; 589 ; 863.921.045 ;
33;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 106 ; 197.071.454 ; 555 ; 114.525.837 ; 277 ; 140.541.305 ; 367 ; 40.058.085 ; 1.305 ; 492.196.680 ; 42 ; 74.558.705 ; 59 ; 269.549.364 ; 101 ; 344.108.069 ; 1.406 ; 836.304.749 ;
34;07.679.404;BANCO TOPÁZIO S.A.; 49 ; 19.316.297 ; 43 ; 5.666.225 ; 119 ; 42.830.573 ; 532 ; 232.260.007 ; 743 ; 300.073.100 ; 467 ; 299.153.739 ; 1.444 ; 123.380.024 ; 1.911 ; 422.533.764 ; 2.654 ; 722.606.864 ;
35;58.616.418;BANCO FIBRA S.A.; 84 ; 87.062.436 ; 712 ; 131.489.469 ; 32 ; 16.646.107 ; 195 ; 9.239.150 ; 1.023 ; 244.437.162 ; 77 ; 260.456.522 ; 58 ; 169.530.099 ; 135 ; 429.986.621 ; 1.158 ; 674.423.783 ;
