Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Janeiro/2025.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
27;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 143 ; 100.990.305 ; 975 ; 149.903.812 ; 2.245 ; 537.331.937 ; 5.848 ; 414.849.381 ; 9.211 ; 1.203.075.435 ; 82 ; 611.019.278 ; 161 ; 705.690.876 ; 243 ; 1.316.710.154 ; 9.454 ; 2.519.785.589 ;
28;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;UBS (BRASIL) - PRUDENCIAL; -   ; -   ; -   ; -   ; 55 ; 505.331.844 ; 196 ; 666.552.104 ; 251 ; 1.171.883.948 ; 33 ; 571.227.494 ; 26 ; 301.227.112 ; 59 ; 872.454.606 ; 310 ; 2.044.338.554 ;
29;78.632.767;OURIBANK S.A. BANCO MÚLTIPLO;OURIBANK - PRUDENCIAL; 719 ; 67.279.429 ; 4.343 ; 235.773.570 ; 71.382 ; 192.120.783 ; 529.390 ; 562.948.695 ; 605.834 ; 1.058.122.477 ; 971 ; 725.384.218 ; 6.773 ; 227.775.727 ; 7.744 ; 953.159.945 ; 613.578 ; 2.011.282.422 ;
30;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 344 ; 61.883.217 ; 1.484 ; 203.327.720 ; 67.072 ; 539.884.018 ; 31.969 ; 457.748.177 ; 100.869 ; 1.262.843.132 ; 377 ; 279.332.790 ; 1.921 ; 306.756.964 ; 2.298 ; 586.089.754 ; 103.167 ; 1.848.932.886 ;
31;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 63 ; 52.583.760 ; 555 ; 204.255.926 ; 46 ; 31.945.476 ; 137 ; 72.791.590 ; 801 ; 361.576.752 ; 129 ; 881.175.270 ; 124 ; 604.000.868 ; 253 ; 1.485.176.138 ; 1.054 ; 1.846.752.890 ;
32;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 7.831 ; 2.499.823 ; 246 ; 287.177 ; 1.218.864 ; 379.240.902 ; 1.803.502 ; 656.234.069 ; 3.030.443 ; 1.038.261.971 ; 1.156 ; 490.297.571 ; 1.018 ; 213.104.756 ; 2.174 ; 703.402.327 ; 3.032.617 ; 1.741.664.298 ;
33;11.703.662;BANCO TRAVELEX S.A.;BANCO TRAVELEX - PRUDENCIAL; 396 ; 62.939.720 ; 2.073 ; 84.281.726 ; 5.000 ; 340.381.688 ; 5.863 ; 374.822.977 ; 13.332 ; 862.426.111 ; 2.329 ; 355.117.846 ; 4.110 ; 288.970.544 ; 6.439 ; 644.088.390 ; 19.771 ; 1.506.514.501 ;
34;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 101 ; 39.982.951 ; 708 ; 112.405.457 ; 47 ; 18.748.782 ; 587 ; 138.563.963 ; 1.443 ; 309.701.153 ; 111 ; 621.764.371 ; 155 ; 393.807.358 ; 266 ; 1.015.571.729 ; 1.709 ; 1.325.272.882 ;
35;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 61 ; 40.246.603 ; 283 ; 164.419.216 ; 5.111 ; 89.403.198 ; 1.466 ; 294.611.560 ; 6.921 ; 588.680.577 ; 58 ; 524.868.341 ; 34 ; 198.070.542 ; 92 ; 722.938.883 ; 7.013 ; 1.311.619.460 ;
36;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE CÂMBIO - PRUDENCIAL; 110 ; 164.508.967 ; 705 ; 36.496.593 ; 10.663 ; 61.035.213 ; 29.669 ; 413.092.159 ; 41.147 ; 675.132.932 ; 527 ; 420.677.259 ; 546 ; 214.702.288 ; 1.073 ; 635.379.547 ; 42.220 ; 1.310.512.479 ;
