Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jun/2021;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
32;78.632.767;BANCO OURINVEST S.A.;4.806;466.884.907;13.724;996.797.652;42.499;921.322.821;29.927;796.898.475;90.956;3.181.903.855;3.918;1.212.678.455;10.377;817.773.408;14.295;2.030.451.863;105.251;5.212.355.718
33;62.232.889;BANCO DAYCOVAL S.A.;3.343;548.156.185;6.069;582.977.050;395.846;1.272.305.141;8.544;537.009.796;413.802;2.940.448.172;1.603;785.953.198;3.155;1.453.045.367;4.758;2.238.998.564;418.560;5.179.446.737
34;7.679.404;BANCO TOPÁZIO S.A.;360;224.621.585;237;33.420.745;1.621;350.408.322;2.913;1.687.135.965;5.131;2.295.586.618;2.155;1.824.842.770;5.125;679.472.101;7.280;2.504.314.871;12.411;4.799.901.489
35;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;911;533.897.323;3.932;507.228.951;2.020;779.557.816;2.824;387.888.672;9.687;2.208.572.761;621;1.143.775.930;633;1.426.252.236;1.254;2.570.028.167;10.941;4.778.600.928
36;58.616.418;BANCO FIBRA S.A.;675;615.627.630;5.075;776.382.680;192;172.524.177;1.110;526.427.373;7.052;2.090.961.861;542;1.102.926.558;465;563.271.600;1.007;1.666.198.158;8.059;3.757.160.018
37;7.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A;457;616.458.459;2.154;299.309.313;132;659.627.788;1.591;671.170.984;4.334;2.246.566.544;202;350.934.715;171;674.729.597;373;1.025.664.313;4.707;3.272.230.857
38;61.088.183;BANCO MIZUHO DO BRASIL S.A.;321;454.580.948;1.163;220.730.569;326;158.000.751;807;350.959.507;2.617;1.184.271.775;493;927.428.070;510;982.986.469;1.003;1.910.414.538;3.620;3.094.686.314
39;71.027.866;BANCO BS2 S.A.;2.034;368.755.040;7.349;302.761.596;38.330;724.684.315;101.018;516.929.203;148.731;1.913.130.154;275;318.292.668;428;601.821.143;703;920.113.811;149.434;2.833.243.965
40;45.246.410;BANCO GENIAL S.A.;201;17.019.364;197;23.788.154;1.303;207.206.211;2.768;1.273.867.894;4.469;1.521.881.623;336;1.121.787.563;34;48.273.286;370;1.170.060.849;4.839;2.691.942.472
41;62.144.175;BANCO PINE S.A.;189;107.187.645;1.799;197.156.793;21;19.634.185;311;65.490.813;2.320;389.469.436;150;1.174.300.800;642;1.027.512.182;792;2.201.812.982;3.112;2.591.282.418
42;33.923.798;BANCO MASTER S/A;700;57.308.803;2.149;104.460.389;74.939;596.515.195;287.081;785.357.950;364.869;1.543.642.337;595;503.516.319;351;248.207.757;946;751.724.076;365.815;2.295.366.413
43;00.997.185;BANCO B3 S.A.;;;;;719;863.485.082;690;978.656.011;1.409;1.842.141.092;268;266.100.382;212;150.830.580;480;416.930.962;1.889;2.259.072.054
44;13.059.145;BEXS BANCO DE CÂMBIO S/A;86;305.265.246;43;4.067.277;35.352;234.293.401;412.030;712.104.787;447.511;1.255.730.710;729;550.289.224;220;383.554.221;949;933.843.445;448.460;2.189.574.155
45;33.042.953;CITIBANK N.A.;;;;;7;1.501;51;939.340;58;940.841;3;771.000.000;7;1.321.000.000;10;2.092.000.000;68;2.092.940.841
46;10.690.848;BANCO DA CHINA BRASIL S.A.;107;337.908.893;152;45.800.972;117;385.842.469;387;228.021.378;763;997.573.712;240;235.855.897;283;685.825.611;523;921.681.508;1.286;1.919.255.220
47;7.656.500;BANCO KDB DO BRASIL S.A.;1;7.000.000;;;565;104.440.063;1.917;626.784.100;2.483;738.224.163;352;610.059.824;79;189.630.000;431;799.689.824;2.914;1.537.913.988
48;15.114.366;BANCO BOCOM BBM S.A.;72;79.560.858;342;54.821.188;149;278.217.558;987;218.501.633;1.550;631.101.236;48;374.994.481;63;449.497.700;111;824.492.181;1.661;1.455.593.417
49;00.360.305;CAIXA ECONOMICA FEDERAL;665;170.150.261;464;30.425.092;51.191;220.706.488;3.009;231.750.120;55.329;653.031.961;1.045;310.309.822;1.163;415.791.627;2.208;726.101.449;57.537;1.379.133.410
50;2.318.507;BANCO KEB HANA DO BRASIL S.A.;7;14.548.939;235;133.525.765;287;171.669.239;547;336.389.768;1.076;656.133.711;252;492.239.669;48;208.510.193;300;700.749.862;1.376;1.356.883.572
51;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;152;276.918.407;;;185;69.866.342;23;632.611;360;347.417.360;21;484.012.550;26;435.960.225;47;919.972.775;407;1.267.390.134
52;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;;112;414.756.064;54;201.079.074;166;615.835.138;32;194.643.338;78;405.773.914;110;600.417.252;276;1.216.252.390
53;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA;1.430;40.148.276;11.586;257.789.434;9.539;126.962.935;20.735;232.629.687;43.290;657.530.332;3.458;435.865.235;843;112.227.078;4.301;548.092.313;47.591;1.205.622.644
54;73.622.748;B&T CORRETORA DE CAMBIO LTDA.;1.183;27.792.664;5.783;183.986.061;35.712;164.674.434;17.130;236.029.987;59.808;612.483.145;4.727;358.567.669;1.385;131.111.828;6.112;489.679.497;65.920;1.102.162.642
55;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.;113;19.877.431;285;13.529.661;19.775;476.966.854;1.257;36.290.246;21.430;546.664.192;411;28.429.291;930;475.453.654;1.341;503.882.945;22.771;1.050.547.137
56;30.723.886;BANCO MODAL S.A.;7;396.027;125;23.199.705;696;316.427.878;632;156.427.632;1.460;496.451.241;34;205.541.494;40;347.608.700;74;553.150.194;1.534;1.049.601.435
57;1.181.521;BANCO COOPERATIVO SICREDI S.A.;4.711;263.048.143;4.443;259.974.357;2.914;170.482.162;2.048;73.883.394;14.116;767.388.056;86;84.859.215;32;185.514.262;118;270.373.477;14.234;1.037.761.533
58;3.609.817;BANCO CARGILL S.A.;131;158.857.220;1;19.588;34;54.123.305;229;138.266.821;395;351.266.935;8;270.000.000;11;335.000.000;19;605.000.000;414;956.266.935
59;8.609.934;MONEYCORP BANCO DE CÂMBIO S.A.;41;12.098.836;668;28.318.107;1.011;112.436.023;4.120;271.619.762;5.840;424.472.728;1.173;313.088.916;498;137.631.621;1.671;450.720.538;7.511;875.193.265
60;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;4.104;267.883.263;3.351;169.526.252;2.313;36.824.418;2.551;145.381.942;12.319;619.615.875;76;128.039.803;81;114.946.411;157;242.986.214;12.476;862.602.089
61;36.588.217;TRANSFERWISE BRASIL CORRETORA DE CÂMBIO LTDA.;;;;;510;380.017;226.635;229.012.083;227.145;229.392.100;3.538;408.438.447;3.456;179.805.723;6.994;588.244.170;234.139;817.636.270
62;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;38;45.566.040;98;10.839.844;92;261.150.643;287;47.129.990;515;364.686.516;39;60.989.313;43;359.791.891;82;420.781.204;597;785.467.721
63;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;13;109.960.749;76;60.590.960;45;17.482.781;83;1.928.179;217;189.962.669;13;226.998.033;17;348.722.920;30;575.720.953;247;765.683.621
