Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em ABRIL / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
42;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO;;;;; 7 ; 112.433.034 ; 14 ; 20.157.425 ; 21 ; 132.590.460 ; 6 ; 19.813.572 ; 4 ; 111.817.564 ; 10 ; 131.631.136 ; 31 ; 264.221.596 
43;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 170 ; 4.113.295 ; 641 ; 15.257.515 ; 1.501 ; 17.926.546 ; 2.692 ; 52.324.427 ; 5.004 ; 89.621.784 ; 2.718 ; 96.201.396 ; 198 ; 50.742.776 ; 2.916 ; 146.944.173 ; 7.920 ; 236.565.956 
44;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 880 ; 64.355.002 ; 1.107 ; 58.776.224 ; 395 ; 13.847.284 ; 1.298 ; 16.075.105 ; 3.680 ; 153.053.614 ; 34 ; 34.974.065 ; 32 ; 34.082.542 ; 66 ; 69.056.607 ; 3.746 ; 222.110.222 
45;61.186.680;BANCO BMG S.A.; 1 ; 2.744.445 ;;;;; 14 ; 89.876.947 ; 15 ; 92.621.392 ; 4 ; 104.000.000 ; 1 ; 5.000.000 ; 5 ; 109.000.000 ; 20 ; 201.621.392 
46;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 10 ; 7.750.161 ; 68 ; 1.611.943 ; 172 ; 51.481.387 ; 220 ; 50.303.379 ; 470 ; 111.146.870 ; 106 ; 36.226.514 ; 51 ; 43.537.756 ; 157 ; 79.764.271 ; 627 ; 190.911.141 
47;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 666 ; 39.263.845 ; 449 ; 13.837.545 ; 277 ; 11.104.823 ; 268 ; 39.340.384 ; 1.660 ; 103.546.597 ; 22 ; 42.606.675 ; 21 ; 37.548.634 ; 43 ; 80.155.309 ; 1.703 ; 183.701.906 
48;15.114.366;BANCO BBM S/A; 19 ; 13.836.761 ; 8 ; 816.963 ; 28 ; 18.116.275 ; 103 ; 26.676.341 ; 158 ; 59.446.341 ; 15 ; 53.849.715 ; 13 ; 53.846.397 ; 28 ; 107.696.112 ; 186 ; 167.142.453 
49;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 13 ; 161.832 ; 38 ; 389.643 ; 731 ; 35.530.253 ; 3.977 ; 73.623.650 ; 4.759 ; 109.705.379 ; 982 ; 48.842.592 ; 307 ; 4.253.833 ; 1.289 ; 53.096.425 ; 6.048 ; 162.801.804 
50;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 232 ; 5.521.211 ; 1.590 ; 31.290.947 ; 1.643 ; 13.995.595 ; 3.967 ; 32.358.929 ; 7.432 ; 83.166.681 ; 821 ; 59.674.059 ; 166 ; 16.356.119 ; 987 ; 76.030.178 ; 8.419 ; 159.196.860 
51;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 49 ; 88.784 ; 137 ; 991.485 ; 186 ; 1.080.269 ; 577 ; 73.569.237 ; 341 ; 72.134.390 ; 918 ; 145.703.627 ; 1.104 ; 146.783.896 
52;03.609.817;BANCO CARGILL S.A.; 16 ; 38.918.532 ; 4 ; 9.816.816 ; 3 ; 3.374.808 ; 59 ; 10.604.335 ; 82 ; 62.714.490 ; 1 ; 8.000.000 ; 2 ; 65.000.000 ; 3 ; 73.000.000 ; 85 ; 135.714.490 
53;10.690.848;BANCO DA CHINA BRASIL S.A.; 11 ; 8.802.046 ; 24 ; 26.162.998 ; 18 ; 36.905.532 ; 28 ; 21.386.236 ; 81 ; 93.256.812 ; 23 ; 22.040.187 ; 28 ; 20.239.422 ; 51 ; 42.279.608 ; 132 ; 135.536.421 
54;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 34 ; 687.352 ; 218 ; 2.606.265 ; 1.393 ; 9.005.812 ; 5.991 ; 64.335.429 ; 7.636 ; 76.634.858 ; 1.407 ; 57.164.662 ; 2 ; 47.360 ; 1.409 ; 57.212.023 ; 9.045 ; 133.846.881 
55;30.723.886;BANCO MODAL S.A.; 6 ; 17.163.129 ; 93 ; 5.196.418 ; 68 ; 18.645.277 ; 98 ; 22.651.638 ; 265 ; 63.656.463 ; 8 ; 28.869.269 ; 14 ; 41.066.618 ; 22 ; 69.935.887 ; 287 ; 133.592.350 
56;92.894.922;BANCO ORIGINAL S.A.; 23 ; 63.398.566 ; 41 ; 2.492.011 ; 54 ; 8.164.054 ; 196 ; 2.663.224 ; 314 ; 76.717.855 ; 9 ; 875.908 ; 6 ; 55.000.353 ; 15 ; 55.876.261 ; 329 ; 132.594.116 
57;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 8 ; 2.312.435 ; 3 ; 49.086 ; 1.376 ; 60.200.818 ; 40 ; 845.523 ; 1.427 ; 63.407.863 ; 10 ; 611.785 ; 81 ; 62.227.625 ; 91 ; 62.839.411 ; 1.518 ; 126.247.274 
58;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 1.042 ; 8.984.757 ; 3.907 ; 58.412.253 ; 4.949 ; 67.397.010 ; 2.989 ; 50.506.471 ; 64 ; 458.647 ; 3.053 ; 50.965.119 ; 8.002 ; 118.362.129 
59;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 99 ; 1.701.886 ; 1.234 ; 23.774.787 ; 662 ; 8.914.525 ; 2.220 ; 24.047.775 ; 4.215 ; 58.438.972 ; 1.314 ; 42.100.963 ; 25 ; 5.537.316 ; 1.339 ; 47.638.279 ; 5.554 ; 106.077.252 
60;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 19 ; 247.295 ; 268 ; 4.786.089 ; 546 ; 6.296.284 ; 1.894 ; 21.154.809 ; 2.727 ; 32.484.478 ; 2.308 ; 42.388.577 ; 460 ; 22.954.965 ; 2.768 ; 65.343.542 ; 5.495 ; 97.828.019 
61;59.118.133;BANCO LUSO BRASILEIRO S.A.; 78 ; 14.600.483 ; 273 ; 20.304.241 ; 66 ; 6.565.741 ; 152 ; 3.939.303 ; 569 ; 45.409.769 ; 262 ; 27.468.612 ; 115 ; 24.628.933 ; 377 ; 52.097.545 ; 946 ; 97.507.314 
62;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; 20 ; 2.425.990 ; 23 ; 363.472 ; 8 ; 185.276 ; 38 ; 30.836.196 ; 89 ; 33.810.934 ; 8 ; 43.000.000 ; 4 ; 20.000.000 ; 12 ; 63.000.000 ; 101 ; 96.810.934 
63;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 68 ; 19.309.360 ; 84 ; 40.829.477 ; 152 ; 60.138.836 ; 38 ; 28.968.000 ; 19 ; 7.443.000 ; 57 ; 36.411.000 ; 209 ; 96.549.836 
64;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 2 ; 2.022.275 ; 23 ; 6.012.299 ; 43 ; 29.458.734 ; 33 ; 23.537.816 ; 101 ; 61.031.124 ; 18 ; 16.765.772 ; 13 ; 18.652.973 ; 31 ; 35.418.746 ; 132 ; 96.449.870 
65;12.586.596;MULTIMONEY CORRETORA DE CÂMBIO LTDA; 49 ; 838.741 ; 472 ; 9.436.189 ; 2.270 ; 4.181.671 ; 1.906 ; 20.525.894 ; 4.697 ; 34.982.495 ; 2.083 ; 36.707.845 ; 614 ; 11.648.487 ; 2.697 ; 48.356.333 ; 7.394 ; 83.338.827 
66;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 172 ; 4.367.704 ; 1.026 ; 28.016.949 ; 393 ; 6.396.739 ; 796 ; 9.938.479 ; 2.387 ; 48.719.872 ; 459 ; 30.428.956 ; 30 ; 3.294.945 ; 489 ; 33.723.901 ; 2.876 ; 82.443.773 
67;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 14 ; 23.639.321 ; 27 ; 10.790.957 ; 26 ; 11.402.604 ; 56 ; 3.562.863 ; 123 ; 49.395.745 ; 5 ; 4.390.715 ; 9 ; 24.891.178 ; 14 ; 29.281.894 ; 137 ; 78.677.639 
68;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 2 ; 8.013.500 ; 11 ; 1.344.354 ; 5 ; 2.418.415 ; 9 ; 36.484 ; 27 ; 11.812.752 ; 19 ; 21.552.400 ; 23 ; 37.606.196 ; 42 ; 59.158.596 ; 69 ; 70.971.348 
69;07.679.404;BANCO TOPÁZIO S.A.;;; 1 ; 22.796 ; 53 ; 5.016.052 ; 121 ; 31.849.430 ; 175 ; 36.888.278 ; 45 ; 29.959.854 ; 15 ; 3.114.469 ; 60 ; 33.074.323 ; 235 ; 69.962.602 
70;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 20 ; 17.514.697 ; 8 ; 760.285 ; 2 ; 11.200.000 ; 92 ; 13.222.479 ; 122 ; 42.697.461 ; 4 ; 6.570.000 ; 3 ; 17.764.350 ; 7 ; 24.334.350 ; 129 ; 67.031.811 
71;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 34 ; 683.753 ; 961 ; 21.216.532 ; 417 ; 3.416.462 ; 944 ; 8.348.738 ; 2.356 ; 33.665.485 ; 1.314 ; 28.514.509 ; 193 ; 3.073.147 ; 1.507 ; 31.587.656 ; 3.863 ; 65.253.142 
72;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 49 ; 28.382.433 ; 65 ; 2.394.394 ; 55 ; 821.526 ; 68 ; 2.080.298 ; 237 ; 33.678.651 ; 29 ; 3.186.255 ; 32 ; 28.350.911 ; 61 ; 31.537.166 ; 298 ; 65.215.817 
73;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 13 ; 31.101.750 ;;; 4 ; 148.498 ; 14 ; 170.811 ; 31 ; 31.421.058 ; 3 ; 1.200.000 ; 34 ; 31.850.000 ; 37 ; 33.050.000 ; 68 ; 64.471.058 
74;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 4 ; 5.303.464 ; 6 ; 2.565.763 ; 9 ; 263.151 ; 72 ; 8.869.583 ; 91 ; 17.001.959 ; 13 ; 28.574.700 ; 12 ; 18.577.775 ; 25 ; 47.152.475 ; 116 ; 64.154.434 
75;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 79 ; 1.503.360 ; 1.056 ; 22.563.261 ; 281 ; 6.998.263 ; 909 ; 6.781.780 ; 2.325 ; 37.846.664 ; 327 ; 21.498.156 ; 8 ; 682.742 ; 335 ; 22.180.898 ; 2.660 ; 60.027.561 
76;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 2 ; 33.916 ; 53 ; 13.921.981 ; 87 ; 14.268.809 ; 110 ; 9.939.864 ; 252 ; 38.164.569 ; 21 ; 14.792.372 ; 10 ; 5.190.000 ; 31 ; 19.982.372 ; 283 ; 58.146.941 
77;62.144.175;BANCO PINE S.A.; 11 ; 8.354.681 ; 2 ; 1.924.387 ; 2 ; 15.958.773 ; 29 ; 3.088.770 ; 44 ; 29.326.612 ; 1 ; 1.235.000 ; 3 ; 26.221.400 ; 4 ; 27.456.400 ; 48 ; 56.783.012 
78;62.285.390;SOCOPA SOCIEDADE CORRETORA PAULISTA S.A.; 20 ; 416.562 ; 319 ; 6.327.329 ; 364 ; 3.378.759 ; 4.090 ; 20.323.779 ; 4.793 ; 30.446.430 ; 1.923 ; 23.887.715 ; 13 ; 812.841 ; 1.936 ; 24.700.557 ; 6.729 ; 55.146.987 
79;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 33 ; 4.840.445 ; 28 ; 883.272 ; 28 ; 11.757.977 ; 36 ; 17.390.256 ; 125 ; 34.871.949 ; 21 ; 9.625.130 ; 22 ; 7.946.114 ; 43 ; 17.571.244 ; 168 ; 52.443.193 
