Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em NOVEMBRO / 2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
26;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 74 ; 4.007.377 ; 564 ; 28.219.064 ; 264 ; 129.091.825 ; 83.975 ; 127.040.294 ; 84.877 ; 288.358.559 ; 221 ; 298.265.659 ; 302 ; 274.228.013 ; 523 ; 572.493.672 ; 85.400 ; 860.852.231 ;;;;
27;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 148 ; 90.888.482 ; 624 ; 122.503.592 ; 401 ; 89.184.709 ; 503 ; 164.032.136 ; 1.676 ; 466.608.919 ; 75 ; 240.448.004 ; 67 ; 115.702.406 ; 142 ; 356.150.411 ; 1.818 ; 822.759.329 ;;;;
28;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 390 ; 51.935.517 ; 1.663 ; 52.299.323 ; 1.724 ; 104.166.530 ; 3.508 ; 118.411.589 ; 7.285 ; 326.812.960 ; 948 ; 229.086.531 ; 6.900 ; 200.230.721 ; 7.848 ; 429.317.252 ; 15.133 ; 756.130.212 ;;;;
29;62.232.889;BANCO DAYCOVAL S.A.; 596 ; 107.675.073 ; 882 ; 58.950.591 ; 1.664 ; 101.014.932 ; 2.555 ; 93.377.733 ; 5.697 ; 361.018.329 ; 321 ; 175.621.543 ; 1.127 ; 203.355.644 ; 1.448 ; 378.977.187 ; 7.145 ; 739.995.516 ;;;;
30;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 15 ; 41.726.768 ; 39 ; 38.157.899 ; 32 ; 92.238.102 ; 58 ; 136.381.592 ; 144 ; 308.504.360 ; 38 ; 198.800.507 ; 47 ; 169.850.808 ; 85 ; 368.651.314 ; 229 ; 677.155.674 ;;;;
31;10.690.848;BANCO DA CHINA BRASIL S.A.; 11 ; 257.433.489 ; 30 ; 7.038.266 ; 18 ; 28.554.993 ; 39 ; 13.121.373 ; 98 ; 306.148.121 ; 22 ; 37.062.583 ; 21 ; 302.523.167 ; 43 ; 339.585.750 ; 141 ; 645.733.872 ;;;;
32;00.360.305;CAIXA ECONOMICA FEDERAL; 137 ; 49.895.967 ; 72 ; 2.463.624 ; 8.406 ; 50.163.451 ; 1.250 ; 59.878.479 ; 9.865 ; 162.401.521 ; 175 ; 195.290.417 ; 213 ; 245.281.562 ; 388 ; 440.571.979 ; 10.253 ; 602.973.500 ;;;;
33;13.059.145;BEXS BANCO DE CÂMBIO S/A; 23 ; 69.339.008 ; 17 ; 1.405.485 ; 422 ; 27.475.310 ; 2.780 ; 212.396.583 ; 3.242 ; 310.616.386 ; 93 ; 201.779.684 ; 52 ; 89.935.397 ; 145 ; 291.715.081 ; 3.387 ; 602.331.467 ;;;;
34;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 56 ; 86.848.800 ; 187 ; 33.243.201 ; 83 ; 22.198.478 ; 124 ; 30.958.447 ; 450 ; 173.248.926 ; 92 ; 117.236.669 ; 100 ; 167.942.267 ; 192 ; 285.178.937 ; 642 ; 458.427.863 ;;;;
35;62.144.175;BANCO PINE S.A.; 30 ; 23.725.891 ; 254 ; 29.515.875 ; 8 ; 19.023.421 ; 43 ; 8.549.891 ; 335 ; 80.815.078 ; 70 ; 170.669.147 ; 122 ; 204.287.356 ; 192 ; 374.956.503 ; 527 ; 455.771.581 ;;;;
