Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Jun/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
43;33.923.798;BANCO MÁXIMA S.A.; 224 ; 5.886.418 ; 1.812 ; 75.133.144 ; 452 ; 116.677.711 ; 1.532 ; 129.238.191 ; 4.020 ; 326.935.465 ; 1.713 ; 599.245.028 ; 8.022 ; 520.534.921 ; 9.735 ; 1.119.779.949 ; 13.755 ; 1.446.715.414 ;;;;
44;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 729 ; 325.841.443 ; 737 ; 97.414.144 ; 379 ; 231.486.637 ; 1.172 ; 117.183.885 ; 3.017 ; 771.926.110 ; 137 ; 170.366.186 ; 146 ; 487.914.889 ; 283 ; 658.281.075 ; 3.300 ; 1.430.207.185 ;;;;
45;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 71 ; 156.933.657 ; 115 ; 123.351.502 ; 52 ; 362.075.605 ; 419 ; 131.695.714 ; 657 ; 774.056.477 ; 58 ; 180.149.561 ; 65 ; 381.781.806 ; 123 ; 561.931.367 ; 780 ; 1.335.987.844 ;;;;
46;03.609.817;BANCO CARGILL S.A.; 82 ; 485.699.151 ; 21 ; 55.519.067 ; 10 ; 75.785.532 ; 102 ; 198.875.200 ; 215 ; 815.878.949 ; 22 ; 95.643.000 ; 37 ; 402.250.000 ; 59 ; 497.893.000 ; 274 ; 1.313.771.949 ;;;;
47;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS; 25 ; 1.091.490 ; 7.819 ; 534.574.491 ; 1.599 ; 10.535.944 ; 18.412 ; 91.130.611 ; 27.855 ; 637.332.536 ; 6.002 ; 618.989.060 ; 166 ; 5.489.301 ; 6.168 ; 624.478.360 ; 34.023 ; 1.261.810.896 ;;;;
48;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 852 ; 318.758.640 ; 855 ; 370.237.321 ; 1.707 ; 688.995.961 ; 74 ; 303.854.183 ; 236 ; 252.100.000 ; 310 ; 555.954.183 ; 2.017 ; 1.244.950.143 ;;;;
49;15.114.366;BANCO BBM S/A; 119 ; 59.210.516 ; 16 ; 57.130.251 ; 51 ; 80.231.141 ; 221 ; 18.995.860 ; 407 ; 215.567.767 ; 52 ; 441.778.985 ; 72 ; 499.772.158 ; 124 ; 941.551.142 ; 531 ; 1.157.118.910 ;;;;
50;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 107 ; 640.381 ; 5.166 ; 54.914.458 ; 21.457 ; 351.249.364 ; 26.730 ; 406.804.203 ; 10.663 ; 493.741.133 ; 769 ; 196.761.551 ; 11.432 ; 690.502.683 ; 38.162 ; 1.097.306.886 ;;;;
51;03.532.415;BANCO ABN AMRO S.A.; 123 ; 467.397.085 ; 1 ; 3.442.920 ; 30 ; 6.680.365 ; 98 ; 9.071.044 ; 252 ; 486.591.414 ; 14 ; 64.537.113 ; 214 ; 527.108.521 ; 228 ; 591.645.634 ; 480 ; 1.078.237.048 ;;;;
52;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 30 ; 123.000.000 ; 121 ; 111.267.714 ; 167 ; 271.836.602 ; 112 ; 151.904.866 ; 430 ; 658.009.182 ; 36 ; 56.696.290 ; 117 ; 186.205.500 ; 153 ; 242.901.790 ; 583 ; 900.910.972 ;;;;
53;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 274 ; 4.908.745 ; 5.124 ; 133.716.772 ; 3.822 ; 56.232.291 ; 14.537 ; 303.440.578 ; 23.757 ; 498.298.386 ; 5.623 ; 377.066.494 ; 9 ; 1.558.372 ; 5.632 ; 378.624.866 ; 29.389 ; 876.923.252 ;;;;
54;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 68 ; 1.929.888 ; 564 ; 9.875.602 ; 2.083 ; 16.418.494 ; 7.603 ; 121.731.387 ; 10.318 ; 149.955.371 ; 9.892 ; 417.610.097 ; 1.961 ; 304.107.745 ; 11.853 ; 721.717.842 ; 22.171 ; 871.673.213 ;;;;
55;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 168 ; 3.360.763 ; 902 ; 10.755.356 ; 6.914 ; 56.963.948 ; 36.743 ; 422.449.042 ; 44.727 ; 493.529.110 ; 4.966 ; 374.157.067 ; 57 ; 1.230.268 ; 5.023 ; 375.387.335 ; 49.750 ; 868.916.444 ;;;;
56;58.616.418;BANCO FIBRA S.A.; 408 ; 36.317.213 ; 1.648 ; 111.365.901 ; 496 ; 104.573.745 ; 1.381 ; 183.571.676 ; 3.933 ; 435.828.535 ; 229 ; 256.842.279 ; 173 ; 59.573.852 ; 402 ; 316.416.130 ; 4.335 ; 752.244.665 ;;;;
57;30.723.886;BANCO MODAL S.A.; 78 ; 8.345.132 ; 292 ; 34.136.670 ; 112 ; 169.802.730 ; 327 ; 82.187.131 ; 809 ; 294.471.662 ; 102 ; 197.306.539 ; 98 ; 252.719.293 ; 200 ; 450.025.831 ; 1.009 ; 744.497.493 ;;;;
58;72.760.713;RENOVA S.A. CORRETORA DE CÂMBIO; 12 ; 293.172 ; 445 ; 9.705.809 ; 1.303 ; 10.308.845 ; 6.269 ; 67.724.961 ; 8.029 ; 88.032.787 ; 5.439 ; 353.673.064 ; 576 ; 286.814.066 ; 6.015 ; 640.487.130 ; 14.044 ; 728.519.917 ;;;;
59;59.118.133;BANCO LUSO BRASILEIRO S.A.; 84 ; 24.831.081 ; 3.049 ; 275.754.973 ; 66 ; 35.282.851 ; 647 ; 31.313.832 ; 3.846 ; 367.182.738 ; 1.457 ; 279.452.822 ; 125 ; 32.417.502 ; 1.582 ; 311.870.324 ; 5.428 ; 679.053.062 ;;;;
60;62.144.175;BANCO PINE S.A.; 35 ; 65.177.624 ; 64 ; 47.665.681 ; 33 ; 42.680.185 ; 358 ; 143.953.068 ; 490 ; 299.476.559 ; 17 ; 151.053.203 ; 15 ; 226.048.642 ; 32 ; 377.101.846 ; 522 ; 676.578.404 ;;;;
61;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 17 ; 134.139 ; 195 ; 1.834.744 ; 2.723 ; 78.947.271 ; 6.607 ; 308.256.945 ; 9.542 ; 389.173.100 ; 4.117 ; 258.665.798 ; 2.538 ; 27.769.139 ; 6.655 ; 286.434.937 ; 16.197 ; 675.608.037 ;;;;
62;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 493 ; 16.385.819 ; 6.496 ; 182.071.396 ; 5.219 ; 72.768.433 ; 16.240 ; 129.046.753 ; 28.448 ; 400.272.401 ; 4.127 ; 243.877.535 ; 563 ; 21.974.336 ; 4.690 ; 265.851.871 ; 33.138 ; 666.124.272 ;;;;
63;02.318.507;BANCO KEB DO BRASIL S.A.; 3 ; 1.486.697 ; 80 ; 16.937.363 ; 220 ; 251.433.617 ; 2.030 ; 282.080.318 ; 2.333 ; 551.937.994 ; 70 ; 76.130.771 ; 35 ; 30.032.790 ; 105 ; 106.163.561 ; 2.438 ; 658.101.555 ;;;;
64;11.495.073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;;; 698 ; 38.908.259 ; 12.624 ; 14.080.065 ; 22.391 ; 103.266.078 ; 35.713 ; 156.254.402 ; 8.898 ; 300.677.840 ; 506 ; 172.545.729 ; 9.404 ; 473.223.569 ; 45.117 ; 629.477.971 ;;;;
65;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 294 ; 11.350.667 ; 5.256 ; 209.880.945 ; 2.353 ; 44.665.576 ; 5.948 ; 65.792.861 ; 13.851 ; 331.690.049 ; 1.620 ; 242.786.813 ; 88 ; 22.945.069 ; 1.708 ; 265.731.881 ; 15.559 ; 597.421.930 ;;;;
66;61.024.352;BANCO INDUSVAL S.A.; 283 ; 93.542.950 ; 223 ; 34.498.280 ; 95 ; 7.727.149 ; 465 ; 30.639.003 ; 1.066 ; 166.407.382 ; 189 ; 160.070.980 ; 248 ; 237.078.539 ; 437 ; 397.149.519 ; 1.503 ; 563.556.900 ;;;;
67;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 44 ; 1.822.216 ; 119 ; 2.089.562 ; 181 ; 197.440.995 ; 722 ; 222.913.139 ; 1.066 ; 424.265.911 ; 46 ; 56.394.973 ; 25 ; 34.914.979 ; 71 ; 91.309.952 ; 1.137 ; 515.575.863 ;;;;
