Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em AGOSTO / 2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
29;62.232.889;BANCO DAYCOVAL S.A.; 289 ; 89.379.102 ; 719 ; 164.315.124 ; 49.922 ; 438.525.560 ; 44.173 ; 207.594.168 ; 95.103 ; 899.813.954 ; 364 ; 371.184.428 ; 1.489 ; 405.874.470 ; 1.853 ; 777.058.898 ; 96.956 ; 1.676.872.852 ;;
30;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 70 ; 97.973.115 ; 151 ; 27.952.240 ; 23 ; 579.672.960 ; 185 ; 617.778.273 ; 429 ; 1.323.376.588 ; 41 ; 124.767.143 ; 39 ; 215.999.546 ; 80 ; 340.766.689 ; 509 ; 1.664.143.277 ;;
31;71.027.866;BANCO BS2 S.A.; 482 ; 153.818.109 ; 1.508 ; 478.280.091 ; 7.289 ; 172.034.391 ; 7.302 ; 181.442.955 ; 16.581 ; 985.575.546 ; 76 ; 455.504.890 ; 48 ; 167.631.534 ; 124 ; 623.136.424 ; 16.705 ; 1.608.711.970 ;;
32;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; -   ; -   ; -   ; -   ; 103 ; 583.845.299 ; 120 ; 736.667.294 ; 223 ; 1.320.512.593 ; 15 ; 91.808.568 ; 12 ; 31.810.413 ; 27 ; 123.618.981 ; 250 ; 1.444.131.574 ;;
33;58.160.789;BANCO SAFRA S.A.; 360 ; 361.482.550 ; 551 ; 130.295.278 ; 23.002 ; 239.241.130 ; 19.710 ; 164.819.109 ; 43.623 ; 895.838.067 ; 219 ; 66.163.488 ; 269 ; 471.496.000 ; 488 ; 537.659.488 ; 44.111 ; 1.433.497.555 ;;
34;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 6 ; 47.660.437 ; 2 ; 1.019.390 ; 39 ; 134.301.292 ; 39 ; 119.300.637 ; 86 ; 302.281.756 ; 58 ; 505.355.944 ; 57 ; 567.259.745 ; 115 ; 1.072.615.689 ; 201 ; 1.374.897.445 ;;
35;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA; -   ; -   ; -   ; -   ; 1.034.315 ; 405.566.423 ; 1.037.095 ; 403.534.627 ; 2.071.410 ; 809.101.050 ; 1.018 ; 231.659.937 ; 1.023 ; 234.104.585 ; 2.041 ; 465.764.522 ; 2.073.451 ; 1.274.865.572 ;;
36;68.900.810;BANCO RENDIMENTO S.A.; 11 ; 2.936.801 ; 97 ; 25.186.574 ; 76.390 ; 251.814.627 ; 3.830 ; 74.013.971 ; 80.328 ; 353.951.973 ; 1.500 ; 227.631.306 ; 6.400 ; 366.199.157 ; 7.900 ; 593.830.463 ; 88.228 ; 947.782.436 ;;
37;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 8 ; 127.812.014 ; 1 ; 30.500 ; 2 ; 32.172 ; 8 ; 43.967 ; 19 ; 127.918.653 ; 19 ; 302.218.876 ; 23 ; 424.316.698 ; 42 ; 726.535.574 ; 61 ; 854.454.227 ;;
38;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 86 ; 75.977.831 ; 184 ; 84.174.033 ; 487 ; 205.003.609 ; 814 ; 92.447.986 ; 1.571 ; 457.603.459 ; 81 ; 144.603.939 ; 76 ; 248.120.345 ; 157 ; 392.724.284 ; 1.728 ; 850.327.743 ;;
39;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 5 ; 120.035.136 ; -   ; -   ; 25 ; 64.954.463 ; 110 ; 149.440.541 ; 140 ; 334.430.140 ; 22 ; 393.064.782 ; 6 ; 105.065.031 ; 28 ; 498.129.813 ; 168 ; 832.559.953 ;;
40;58.616.418;BANCO FIBRA S.A.; 72 ; 97.659.611 ; 391 ; 123.614.482 ; 84 ; 83.109.334 ; 454 ; 21.654.422 ; 1.001 ; 326.037.849 ; 84 ; 274.154.493 ; 74 ; 225.098.801 ; 158 ; 499.253.294 ; 1.159 ; 825.291.143 ;;
41;62.144.175;BANCO PINE S.A.; 38 ; 38.300.314 ; 178 ; 244.555.056 ; 25 ; 55.021.406 ; 393 ; 24.246.940 ; 634 ; 362.123.716 ; 50 ; 299.666.530 ; 23 ; 119.380.836 ; 73 ; 419.047.366 ; 707 ; 781.171.082 ;;
42;10.690.848;BANCO DA CHINA BRASIL S.A.; 19 ; 80.034.452 ; 6 ; 911.834 ; 90 ; 234.880.791 ; 67 ; 6.774.156 ; 182 ; 322.601.233 ; 22 ; 68.169.796 ; 64 ; 375.478.753 ; 86 ; 443.648.549 ; 268 ; 766.249.782 ;;
43;13.059.145;BEXS BANCO DE CÂMBIO S/A; 59 ; 125.813.572 ; 64 ; 11.748.784 ; 22.596 ; 55.437.617 ; 74.615 ; 208.644.329 ; 97.334 ; 401.644.302 ; 118 ; 109.146.948 ; 105 ; 57.378.496 ; 223 ; 166.525.444 ; 97.557 ; 568.169.746 ;;
44;00.360.305;CAIXA ECONOMICA FEDERAL; 131 ; 35.805.540 ; 86 ; 2.758.913 ; 7.877 ; 92.554.790 ; 2.798 ; 118.622.525 ; 10.892 ; 249.741.768 ; 155 ; 106.581.666 ; 179 ; 125.136.667 ; 334 ; 231.718.333 ; 11.226 ; 481.460.101 ;;
45;00.997.185;BANCO B3 S.A.; -   ; -   ; -   ; -   ; 214 ; 136.397.926 ; 179 ; 152.162.802 ; 393 ; 288.560.728 ; 30 ; 57.734.929 ; 39 ; 41.952.648 ; 69 ; 99.687.577 ; 462 ; 388.248.305 ;;
46;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 93 ; 18.180.007 ; 69 ; 6.268.374 ; 4.575 ; 158.218.848 ; 247 ; 13.981.883 ; 4.984 ; 196.649.112 ; 78 ; 14.569.433 ; 192 ; 170.716.119 ; 270 ; 185.285.552 ; 5.254 ; 381.934.664 ;;
47;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 230 ; 8.963.017 ; 1.866 ; 43.158.968 ; 2.286 ; 77.518.400 ; 4.367 ; 91.361.130 ; 8.749 ; 221.001.515 ; 442 ; 79.827.203 ; 135 ; 31.534.922 ; 577 ; 111.362.125 ; 9.326 ; 332.363.640 ;;
48;07.656.500;BANCO KDB DO BRASIL S.A.; -   ; -   ; 3 ; 644.661 ; 124 ; 89.085.084 ; 387 ; 72.326.134 ; 514 ; 162.055.879 ; 54 ; 71.927.272 ; 35 ; 87.220.000 ; 89 ; 159.147.272 ; 603 ; 321.203.151 ;;
49;33.923.798;BANCO MASTER S/A; 112 ; 45.833.807 ; 223 ; 69.994.557 ; 3.307 ; 43.692.942 ; 418 ; 30.272.717 ; 4.060 ; 189.794.023 ; 31 ; 63.760.299 ; 30 ; 66.466.144 ; 61 ; 130.226.443 ; 4.121 ; 320.020.466 ;;
50;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.; 1 ; 72.724 ; 12 ; 1.609.538 ; 767 ; 98.102.280 ; 4.705 ; 111.965.546 ; 5.485 ; 211.750.088 ; 564 ; 33.482.612 ; 112 ; 20.097.468 ; 676 ; 53.580.080 ; 6.161 ; 265.330.168 ;;
51;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 375 ; 94.173.725 ; 411 ; 43.527.222 ; 681 ; 21.135.611 ; 674 ; 17.061.007 ; 2.141 ; 175.897.565 ; 15 ; 17.042.075 ; 48 ; 71.635.013 ; 63 ; 88.677.088 ; 2.204 ; 264.574.653 ;;
52;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 1.102 ; 58.303.573 ; 1.109 ; 45.335.068 ; 934 ; 22.508.873 ; 519 ; 33.792.108 ; 3.664 ; 159.939.622 ; 22 ; 32.808.025 ; 13 ; 26.970.516 ; 35 ; 59.778.541 ; 3.699 ; 219.718.163 ;;
53;61.024.352;BANCO VOITER S.A.; 13 ; 4.154.067 ; 87 ; 40.645.569 ; 147 ; 48.818.023 ; 934 ; 35.302.906 ; 1.181 ; 128.920.565 ; 76 ; 54.715.166 ; 81 ; 32.383.119 ; 157 ; 87.098.285 ; 1.338 ; 216.018.850 ;;
54;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 5 ; 405.588 ; 13 ; 1.291.607 ; 254 ; 81.106.291 ; 562 ; 40.353.972 ; 834 ; 123.157.458 ; 153 ; 20.886.086 ; 106 ; 60.787.547 ; 259 ; 81.673.633 ; 1.093 ; 204.831.091 ;;
