Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em NOVEMBRO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
27;68.900.810;BANCO RENDIMENTO S.A.; 25 ; 1.118.429 ; 155 ; 55.940.304 ; 41.255 ; 158.525.648 ; 16.171 ; 153.020.591 ; 57.606 ; 368.604.972 ; 624 ; 347.913.726 ; 8.348 ; 294.837.423 ; 8.972 ; 642.751.149 ; 66.578 ; 1.011.356.121 
28;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 147 ; 57.835.473 ; 731 ; 206.238.027 ; 326 ; 41.154.987 ; 580 ; 166.713.033 ; 1.784 ; 471.941.520 ; 117 ; 283.274.367 ; 96 ; 56.662.930 ; 213 ; 339.937.297 ; 1.997 ; 811.878.817 
29;00.360.305;CAIXA ECONOMICA FEDERAL; 177 ; 39.532.944 ; 121 ; 3.115.203 ; 7.443 ; 131.007.999 ; 1.468 ; 98.654.231 ; 9.209 ; 272.310.377 ; 165 ; 195.075.977 ; 178 ; 243.056.086 ; 343 ; 438.132.063 ; 9.552 ; 710.442.440 
30;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 55 ; 2.654.918 ; 630 ; 34.702.255 ; 333 ; 72.449.090 ; 45.521 ; 104.247.868 ; 46.539 ; 214.054.132 ; 227 ; 268.458.884 ; 343 ; 204.256.964 ; 570 ; 472.715.848 ; 47.109 ; 686.769.980 
31;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 214 ; 8.762.947 ; 1.456 ; 54.422.295 ; 1.051 ; 57.026.574 ; 2.489 ; 67.473.803 ; 5.210 ; 187.685.619 ; 745 ; 254.310.974 ; 6.478 ; 191.406.136 ; 7.223 ; 445.717.110 ; 12.433 ; 633.402.729 
32;78.632.767;BANCO OURINVEST S.A.; 192 ; 16.798.984 ; 1.319 ; 77.685.768 ; 634 ; 52.600.382 ; 1.621 ; 75.560.436 ; 3.766 ; 222.645.570 ; 610 ; 239.931.714 ; 7.826 ; 154.916.300 ; 8.436 ; 394.848.014 ; 12.202 ; 617.493.583 
33;71.027.866;BANCO BS2 S.A.; 83 ; 29.585.596 ; 317 ; 28.662.826 ; 777 ; 83.588.792 ; 1.182 ; 101.442.634 ; 2.359 ; 243.279.848 ; 273 ; 162.134.568 ; 1.960 ; 153.697.394 ; 2.233 ; 315.831.962 ; 4.592 ; 559.111.810 
34;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 42 ; 29.708.173 ; 115 ; 20.854.779 ; 74 ; 90.360.861 ; 118 ; 90.848.791 ; 349 ; 231.772.603 ; 69 ; 105.229.826 ; 68 ; 130.588.968 ; 137 ; 235.818.794 ; 486 ; 467.591.397 
35;62.232.889;BANCO DAYCOVAL S.A.; 510 ; 93.977.200 ; 716 ; 29.654.479 ; 630 ; 5.561.154 ; 2.184 ; 39.296.526 ; 4.040 ; 168.489.358 ; 425 ; 131.797.828 ; 2.124 ; 162.724.252 ; 2.549 ; 294.522.080 ; 6.589 ; 463.011.438 
36;13.059.145;BEXS BANCO DE CÂMBIO S/A; 20 ; 36.261.192 ; 31 ; 718.183 ; 152 ; 14.151.231 ; 382 ; 148.721.771 ; 585 ; 199.852.377 ; 113 ; 148.880.658 ; 41 ; 48.452.925 ; 154 ; 197.333.583 ; 739 ; 397.185.960 
37;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;;;;; 9 ; 50.679.604 ; 20 ; 51.105.818 ; 29 ; 101.785.423 ; 4 ; 120.000.000 ; 4 ; 120.000.000 ; 8 ; 240.000.000 ; 37 ; 341.785.423 
38;33.923.798;BANCO MÁXIMA S.A.; 24 ; 56.829.646 ; 80 ; 3.232.293 ; 354 ; 17.054.790 ; 6.318 ; 27.953.452 ; 6.776 ; 105.070.180 ; 22 ; 85.099.228 ; 21 ; 143.104.150 ; 43 ; 228.203.378 ; 6.819 ; 333.273.558 
39;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 65 ; 62.333.343 ;;; 94 ; 52.084.785 ; 45 ; 127.560.842 ; 204 ; 241.978.970 ;;; 2 ; 60.000.000 ; 2 ; 60.000.000 ; 206 ; 301.978.970 
40;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 164 ; 69.749.535 ; 287 ; 29.491.731 ; 451 ; 99.241.266 ; 13 ; 110.110.460 ; 46 ; 65.350.000 ; 59 ; 175.460.460 ; 510 ; 274.701.726 
41;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 9 ; 1.224.855 ; 66 ; 12.715.103 ; 187 ; 14.217.376 ; 402 ; 118.557.327 ; 664 ; 146.714.661 ; 77 ; 116.341.425 ; 15 ; 645.278 ; 92 ; 116.986.702 ; 756 ; 263.701.363 
42;58.616.418;BANCO FIBRA S.A.; 116 ; 72.322.848 ; 330 ; 49.107.353 ; 70 ; 32.501.427 ; 211 ; 33.120.430 ; 727 ; 187.052.059 ; 15 ; 24.542.532 ; 19 ; 41.008.340 ; 34 ; 65.550.872 ; 761 ; 252.602.931 
43;00.997.185;BANCO B3 S.A.;;;;; 107 ; 57.056.372 ; 119 ; 107.761.840 ; 226 ; 164.818.211 ; 33 ; 57.411.000 ; 16 ; 6.772.654 ; 49 ; 64.183.654 ; 275 ; 229.001.865 
44;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 818 ; 61.152.088 ; 1.077 ; 47.928.313 ; 387 ; 11.974.239 ; 1.020 ; 30.747.863 ; 3.302 ; 151.802.502 ; 38 ; 40.290.764 ; 36 ; 34.960.485 ; 74 ; 75.251.249 ; 3.376 ; 227.053.751 
45;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 172 ; 2.912.052 ; 759 ; 17.818.401 ; 1.793 ; 18.264.623 ; 2.718 ; 43.299.467 ; 5.442 ; 82.294.544 ; 2.221 ; 89.768.784 ; 227 ; 49.593.886 ; 2.448 ; 139.362.671 ; 7.890 ; 221.657.215 
46;15.114.366;BANCO BOCOM BBM S.A.; 19 ; 18.611.490 ; 18 ; 3.806.814 ; 20 ; 25.362.817 ; 73 ; 2.922.489 ; 130 ; 50.703.608 ; 4 ; 48.096.875 ; 6 ; 100.096.869 ; 10 ; 148.193.743 ; 140 ; 198.897.352 
47;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 59 ; 38.131.923 ; 214 ; 18.581.392 ; 12 ; 58.400 ; 212 ; 30.062.675 ; 497 ; 86.834.389 ; 36 ; 74.397.531 ; 21 ; 28.869.278 ; 57 ; 103.266.809 ; 554 ; 190.101.198 
48;07.679.404;BANCO TOPÁZIO S.A.; 2 ; 237.336 ; 15 ; 747.674 ; 62 ; 2.299.783 ; 181 ; 93.278.830 ; 260 ; 96.563.623 ; 123 ; 92.259.720 ; 3 ; 803.370 ; 126 ; 93.063.091 ; 386 ; 189.626.714 
49;30.723.886;BANCO MODAL S.A.; 19 ; 1.055.306 ; 41 ; 3.924.475 ; 83 ; 75.562.538 ; 71 ; 6.756.716 ; 214 ; 87.299.034 ; 8 ; 7.622.250 ; 16 ; 91.008.800 ; 24 ; 98.631.051 ; 238 ; 185.930.085 
50;03.609.817;BANCO CARGILL S.A.; 25 ; 30.683.241 ; 3 ; 2.874.914 ; 1 ; 62.500 ; 31 ; 4.128.724 ; 60 ; 37.749.379 ; 1 ; 3.000.000 ; 5 ; 145.000.000 ; 6 ; 148.000.000 ; 66 ; 185.749.379 
51;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 14 ; 211.624 ; 29 ; 237.720 ; 749 ; 38.355.134 ; 7.106 ; 66.480.012 ; 7.898 ; 105.284.489 ; 369 ; 36.503.934 ; 391 ; 9.232.772 ; 760 ; 45.736.706 ; 8.658 ; 151.021.195 
52;92.894.922;BANCO ORIGINAL S.A.; 21 ; 49.300.484 ; 27 ; 6.841.205 ; 47 ; 27.397 ; 217 ; 7.791.711 ; 312 ; 63.960.797 ; 4 ; 302.027 ; 9 ; 80.000.000 ; 13 ; 80.302.027 ; 325 ; 144.262.824 
53;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 42 ; 59.948.901 ; 37 ; 4.646.876 ; 25 ; 411.289 ; 49 ; 4.344.432 ; 153 ; 69.351.499 ; 29 ; 11.725.421 ; 39 ; 63.030.086 ; 68 ; 74.755.508 ; 221 ; 144.107.006 
54;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 9 ; 2.465.672 ; 11 ; 687.563 ; 1.947 ; 63.562.616 ; 85 ; 3.525.480 ; 2.052 ; 70.241.331 ; 38 ; 4.031.706 ; 93 ; 65.736.964 ; 131 ; 69.768.670 ; 2.183 ; 140.010.001 
55;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 203 ; 4.691.881 ; 1.567 ; 27.398.432 ; 1.600 ; 12.320.311 ; 4.271 ; 26.693.962 ; 7.641 ; 71.104.586 ; 626 ; 52.641.541 ; 146 ; 15.783.696 ; 772 ; 68.425.236 ; 8.413 ; 139.529.822 
56;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 613 ; 33.939.876 ; 361 ; 8.499.675 ; 299 ; 6.257.656 ; 243 ; 33.027.788 ; 1.516 ; 81.724.995 ; 14 ; 18.915.860 ; 16 ; 16.812.630 ; 30 ; 35.728.490 ; 1.546 ; 117.453.485 
57;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 52 ; 25.632.616 ; 228 ; 16.027.135 ; 80 ; 4.192.103 ; 53 ; 11.397.040 ; 413 ; 57.248.894 ; 90 ; 27.730.580 ; 35 ; 29.560.679 ; 125 ; 57.291.259 ; 538 ; 114.540.153 
58;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 15 ; 48.229.636 ; 6 ; 7.978.564 ; 21 ; 56.208.200 ; 4 ; 7.460.562 ; 12 ; 47.602.411 ; 16 ; 55.062.973 ; 37 ; 111.271.172 
59;10.690.848;BANCO DA CHINA BRASIL S.A.;;; 17 ; 6.308.942 ; 18 ; 26.707.922 ; 46 ; 42.506.944 ; 81 ; 75.523.808 ; 26 ; 28.480.446 ; 12 ; 6.381.134 ; 38 ; 34.861.580 ; 119 ; 110.385.388 
60;59.118.133;BANCO LUSO BRASILEIRO S.A.; 58 ; 9.014.512 ; 284 ; 34.004.495 ; 56 ; 8.669.050 ; 150 ; 2.181.964 ; 548 ; 53.870.022 ; 247 ; 37.168.577 ; 98 ; 18.786.285 ; 345 ; 55.954.863 ; 893 ; 109.824.885 
61;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 4 ; 4.106.250 ; 4 ; 167.141 ; 2 ; 20.755 ; 13 ; 4.335.738 ; 23 ; 8.629.884 ; 3 ; 49.800.000 ; 5 ; 50.100.000 ; 8 ; 99.900.000 ; 31 ; 108.529.884 
62;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 6 ; 35.830.304 ; 6 ; 6.165.668 ;;; 45 ; 4.204.434 ; 57 ; 46.200.405 ; 6 ; 18.750.000 ; 7 ; 41.000.000 ; 13 ; 59.750.000 ; 70 ; 105.950.405 
63;00.460.065;COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 93 ; 114.472 ; 246 ; 666.674 ; 339 ; 781.147 ; 522 ; 50.912.479 ; 363 ; 50.370.888 ; 885 ; 101.283.367 ; 1.224 ; 102.064.514 
64;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 43 ; 1.060.602 ; 233 ; 3.535.592 ; 1.371 ; 8.822.308 ; 3.877 ; 47.047.440 ; 5.524 ; 60.465.942 ; 811 ; 41.073.012 ; 5 ; 182.049 ; 816 ; 41.255.061 ; 6.340 ; 101.721.003 
65;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 780 ; 8.540.448 ; 3.129 ; 47.340.817 ; 3.909 ; 55.881.265 ; 2.974 ; 39.701.598 ; 11 ; 107.810 ; 2.985 ; 39.809.408 ; 6.894 ; 95.690.673 
66;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 97 ; 1.797.645 ; 1.088 ; 21.384.352 ; 608 ; 8.962.070 ; 2.153 ; 19.825.030 ; 3.946 ; 51.969.097 ; 1.312 ; 33.930.880 ; 24 ; 3.475.277 ; 1.336 ; 37.406.158 ; 5.282 ; 89.375.254 
67;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 1 ; 82.537 ; 8 ; 3.173.373 ; 7 ; 88.392 ; 65 ; 18.613.900 ; 81 ; 21.958.202 ; 7 ; 30.474.693 ; 7 ; 35.444.870 ; 14 ; 65.919.563 ; 95 ; 87.877.765 
68;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 208 ; 3.888.757 ; 1.106 ; 33.968.326 ; 512 ; 15.757.938 ; 736 ; 7.255.504 ; 2.562 ; 60.870.525 ; 300 ; 23.452.052 ; 19 ; 1.862.685 ; 319 ; 25.314.737 ; 2.881 ; 86.185.262 
69;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 22 ; 406.042 ; 379 ; 7.700.231 ; 526 ; 5.426.885 ; 1.582 ; 16.440.160 ; 2.509 ; 29.973.319 ; 1.694 ; 31.395.397 ; 199 ; 12.951.297 ; 1.893 ; 44.346.694 ; 4.402 ; 74.320.013 
70;17.184.037;BANCO MERCANTIL DO BRASIL S.A.;;;;; 46 ; 9.468.782 ; 48 ; 22.015.518 ; 94 ; 31.484.300 ; 8 ; 21.974.500 ; 2 ; 12.100.000 ; 10 ; 34.074.500 ; 104 ; 65.558.800 
71;13.720.915;BANCO WESTERN UNION DO BRASIL S.A.;;;;;;; 1 ; 1.094 ; 1 ; 1.094 ; 24 ; 32.515.548 ; 36 ; 32.518.782 ; 60 ; 65.034.330 ; 61 ; 65.035.424 
72;60.889.128;BANCO SOFISA S.A.; 90 ; 15.723.334 ; 81 ; 3.659.900 ; 10 ; 58.976 ; 81 ; 900.776 ; 262 ; 20.342.985 ; 8 ; 34.607.230 ; 7 ; 8.107.686 ; 15 ; 42.714.916 ; 277 ; 63.057.901 
73;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 79 ; 1.464.204 ; 1.186 ; 21.720.446 ; 280 ; 4.741.467 ; 1.049 ; 9.146.255 ; 2.594 ; 37.072.373 ; 464 ; 24.986.244 ; 4 ; 269.401 ; 468 ; 25.255.645 ; 3.062 ; 62.328.018 
74;61.186.680;BANCO BMG S.A.; 3 ; 2.584.431 ;;; 3 ; 12.941.870 ; 17 ; 14.753.420 ; 23 ; 30.279.721 ; 2 ; 10.136.716 ; 2 ; 16.084.040 ; 4 ; 26.220.756 ; 27 ; 56.500.477 
75;62.144.175;BANCO PINE S.A.; 13 ; 9.485.599 ; 8 ; 857.996 ; 2 ; 3.028.100 ; 26 ; 4.846.137 ; 49 ; 18.217.832 ; 2 ; 16.133.165 ; 2 ; 20.131.515 ; 4 ; 36.264.680 ; 53 ; 54.482.513 
76;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 4 ; 393.203 ; 20 ; 1.941.799 ; 16 ; 22.642.479 ; 28 ; 2.597.112 ; 68 ; 27.574.592 ; 8 ; 3.107.274 ; 8 ; 21.705.635 ; 16 ; 24.812.909 ; 84 ; 52.387.502 
77;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 32 ; 612.656 ; 703 ; 15.318.894 ; 364 ; 2.435.882 ; 868 ; 7.348.112 ; 1.967 ; 25.715.545 ; 1.118 ; 22.070.151 ; 155 ; 2.462.938 ; 1.273 ; 24.533.089 ; 3.240 ; 50.248.634 
78;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO; 406 ; 10.613.121 ; 117 ; 4.035.074 ; 59 ; 435.605 ; 202 ; 1.167.414 ; 784 ; 16.251.215 ; 19 ; 13.709.145 ; 48 ; 18.977.262 ; 67 ; 32.686.406 ; 851 ; 48.937.621 
79;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; 18 ; 2.217.404 ; 24 ; 424.639 ; 4 ; 60.433 ; 35 ; 25.036.871 ; 81 ; 27.739.347 ; 3 ; 20.500.000 ;;; 3 ; 20.500.000 ; 84 ; 48.239.347 
80;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 2 ; 145.527 ; 59 ; 12.314.455 ; 53 ; 2.151.256 ; 127 ; 7.186.024 ; 241 ; 21.797.261 ; 48 ; 18.908.000 ; 14 ; 1.725.000 ; 62 ; 20.633.000 ; 303 ; 42.430.261 
