Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Nov/2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
25;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 4.132 ; 864.024.682 ; 9.169 ; 742.367.201 ; 59.723 ; 6.694.309.984 ; 84.181 ; 9.466.835.397 ; 157.205 ; 17.767.537.264 ; 17.396 ; 6.484.860.791 ; 54.870 ; 3.838.888.564 ; 72.266 ; 10.323.749.355 ; 229.471 ; 28.091.286.619 ;;
26;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 915 ; 1.548.718.486 ; 2.039 ; 621.726.215 ; 866 ; 1.561.590.379 ; 1.777 ; 1.500.046.499 ; 5.597 ; 5.232.081.579 ; 1.267 ; 9.980.511.855 ; 1.437 ; 11.322.550.890 ; 2.704 ; 21.303.062.745 ; 8.301 ; 26.535.144.324 ;;
27;28.195.667;BANCO ABC BRASIL S.A.; 1.159 ; 892.349.981 ; 3.890 ; 946.948.885 ; 1.735 ; 2.146.021.622 ; 5.536 ; 2.278.732.104 ; 12.320 ; 6.264.052.592 ; 1.317 ; 8.761.249.355 ; 2.388 ; 8.301.383.760 ; 3.705 ; 17.062.633.115 ; 16.025 ; 23.326.685.707 ;;
28;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 67 ; 797.273.380 ; 28 ; 5.524.996 ; 260 ; 996.567.818 ; 470 ; 755.787.085 ; 825 ; 2.555.153.279 ; 771 ; 9.518.218.337 ; 830 ; 10.553.729.932 ; 1.601 ; 20.071.948.269 ; 2.426 ; 22.627.101.548 ;;
29;62.232.889;BANCO DAYCOVAL S.A.; 2.965 ; 725.716.078 ; 9.822 ; 1.583.927.228 ; 526.494 ; 4.161.303.956 ; 505.787 ; 4.050.457.322 ; 1.045.068 ; 10.521.404.584 ; 4.532 ; 5.469.408.376 ; 18.602 ; 4.658.605.244 ; 23.134 ; 10.128.013.620 ; 1.068.202 ; 20.649.418.204 ;;
30;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 592 ; 843.520.687 ; 2.217 ; 458.751.638 ; 287 ; 4.836.648.758 ; 2.307 ; 4.753.591.354 ; 5.403 ; 10.892.512.437 ; 555 ; 3.616.733.652 ; 446 ; 4.038.158.845 ; 1.001 ; 7.654.892.497 ; 6.404 ; 18.547.404.934 ;;
31;58.160.789;BANCO SAFRA S.A.; 3.076 ; 1.523.333.146 ; 6.499 ; 1.280.899.407 ; 255.505 ; 3.764.642.873 ; 206.286 ; 2.900.089.877 ; 471.366 ; 9.468.965.303 ; 3.295 ; 3.227.048.300 ; 3.503 ; 4.400.387.165 ; 6.798 ; 7.627.435.465 ; 478.164 ; 17.096.400.768 ;;
32;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 39 ; 564.492.937 ; 65 ; 215.636.880 ; 213 ; 2.204.506.807 ; 1.319 ; 1.890.030.313 ; 1.636 ; 4.874.666.937 ; 210 ; 5.344.373.187 ; 271 ; 6.135.881.607 ; 481 ; 11.480.254.794 ; 2.117 ; 16.354.921.731 ;;
33;15.114.366;BANCO BOCOM BBM S.A.; 245 ; 165.759.091 ; 399 ; 336.119.899 ; 420 ; 1.560.761.516 ; 2.570 ; 704.906.775 ; 3.634 ; 2.767.547.281 ; 473 ; 4.801.431.633 ; 577 ; 5.161.721.124 ; 1.050 ; 9.963.152.757 ; 4.684 ; 12.730.700.038 ;;
34;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA; 16.514 ; 4.313.799 ; 38 ; 8.050 ; 8.888.630 ; 3.759.771.842 ; 10.062.309 ; 4.158.301.873 ; 18.967.491 ; 7.922.395.564 ; 10.444 ; 2.430.223.370 ; 10.404 ; 2.036.007.397 ; 20.848 ; 4.466.230.767 ; 18.988.339 ; 12.388.626.331 ;;
