Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mai/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
27;68.900.810;BANCO RENDIMENTO S.A.; 278 ; 21.906.813 ; 757 ; 228.565.317 ; 1.103.127 ; 2.106.169.385 ; 27.105 ; 348.415.803 ; 1.131.267 ; 2.705.057.319 ; 6.296 ; 753.680.112 ; 31.950 ; 2.321.044.718 ; 38.246 ; 3.074.724.830 ; 1.169.513 ; 5.779.782.148 ;
28;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 52 ; 252.909.658 ; 104 ; 177.423.759 ; 103 ; 1.214.158.551 ; 588 ; 1.097.118.604 ; 847 ; 2.741.610.572 ; 69 ; 1.183.381.221 ; 81 ; 1.369.808.707 ; 150 ; 2.553.189.928 ; 997 ; 5.294.800.500 ;
29;58.160.789;BANCO SAFRA S.A.; 1.251 ; 712.774.527 ; 5.909 ; 660.899.774 ; 4.317 ; 542.135.565 ; 6.442 ; 1.124.328.830 ; 17.919 ; 3.040.138.696 ; 997 ; 1.255.827.513 ; 956 ; 718.900.234 ; 1.953 ; 1.974.727.747 ; 19.872 ; 5.014.866.443 ;
30;33.264.668;BANCO XP S.A.; 468 ; 504.819.353 ; 4.212 ; 834.197.816 ; 1.767 ; 978.514.489 ; 6.007 ; 645.885.297 ; 12.454 ; 2.963.416.954 ; 107 ; 731.057.050 ; 44 ; 619.812.407 ; 151 ; 1.350.869.456 ; 12.605 ; 4.314.286.410 ;
31;62.232.889;BANCO DAYCOVAL S.A.; 2.723 ; 453.220.717 ; 4.858 ; 483.456.958 ; 328.023 ; 1.045.763.245 ; 6.661 ; 348.684.389 ; 342.265 ; 2.331.125.309 ; 1.292 ; 631.844.391 ; 2.259 ; 1.295.994.821 ; 3.551 ; 1.927.839.211 ; 345.816 ; 4.258.964.520 ;
32;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 770 ; 451.824.883 ; 3.219 ; 430.445.201 ; 1.693 ; 646.281.534 ; 2.293 ; 235.439.136 ; 7.975 ; 1.763.990.754 ; 523 ; 843.958.881 ; 544 ; 1.196.921.054 ; 1.067 ; 2.040.879.935 ; 9.042 ; 3.804.870.689 ;
33;09.274.232;STATE STREET BRASIL S.A. – BANCO COMERCIAL;;;;; 181 ; 1.655.775.931 ; 170 ; 569.528.241 ; 351 ; 2.225.304.173 ; 66 ; 150.557.086 ; 154 ; 1.295.046.493 ; 220 ; 1.445.603.579 ; 571 ; 3.670.907.752 ;
34;78.632.767;BANCO OURINVEST S.A.; 3.842 ; 389.528.698 ; 11.115 ; 805.476.951 ; 33.151 ; 614.687.098 ; 20.116 ; 538.439.559 ; 68.224 ; 2.348.132.307 ; 3.400 ; 794.805.778 ; 6.114 ; 483.315.641 ; 9.514 ; 1.278.121.419 ; 77.738 ; 3.626.253.726 ;
35;07.679.404;BANCO TOPÁZIO S.A.; 304 ; 180.357.921 ; 209 ; 31.384.904 ; 1.334 ; 145.365.375 ; 2.383 ; 1.259.062.508 ; 4.230 ; 1.616.170.708 ; 1.775 ; 1.379.731.694 ; 4.154 ; 415.066.236 ; 5.929 ; 1.794.797.931 ; 10.159 ; 3.410.968.638 ;
36;58.616.418;BANCO FIBRA S.A.; 525 ; 378.516.344 ; 4.172 ; 592.109.072 ; 167 ; 161.739.540 ; 889 ; 433.245.557 ; 5.753 ; 1.565.610.513 ; 448 ; 920.390.862 ; 379 ; 399.839.035 ; 827 ; 1.320.229.897 ; 6.580 ; 2.885.840.410 ;
