Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em ABRIL / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
39;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 200 ; 166.118 ; 2.971 ; 7.287.420 ; 3.171 ; 7.453.538 ; 577 ; 138.195.247 ; 157 ; 130.929.840 ; 734 ; 269.125.086 ; 3.905 ; 276.578.624 ;;;;
40;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.;;;;; 17 ; 18.050.542 ; 64 ; 3.080.767 ; 81 ; 21.131.309 ; 25 ; 123.109.945 ; 43 ; 103.505.080 ; 68 ; 226.615.025 ; 149 ; 247.746.334 ;;;;
41;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 24 ; 70.884.261 ;;; 37 ; 20.550.283 ; 53 ; 126.577.246 ; 114 ; 218.011.790 ; 3 ; 26.951.540 ;;; 3 ; 26.951.540 ; 117 ; 244.963.330 ;;;;
42;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 37 ; 412.901 ; 424 ; 9.216.382 ; 712 ; 8.106.363 ; 1.800 ; 65.308.227 ; 2.973 ; 83.043.873 ; 3.574 ; 112.055.357 ; 106 ; 46.237.008 ; 3.680 ; 158.292.365 ; 6.653 ; 241.336.238 ;;;;
43;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 744 ; 76.196.543 ; 1.208 ; 58.378.942 ; 344 ; 9.038.570 ; 1.467 ; 21.772.759 ; 3.763 ; 165.386.814 ; 34 ; 32.478.137 ; 36 ; 37.584.213 ; 70 ; 70.062.351 ; 3.833 ; 235.449.165 ;;;;
44;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS; 2 ; 89.058 ; 1.254 ; 85.105.083 ; 227 ; 1.334.604 ; 3.464 ; 19.553.194 ; 4.947 ; 106.081.939 ; 1.079 ; 102.239.592 ; 9 ; 109.081 ; 1.088 ; 102.348.673 ; 6.035 ; 208.430.612 ;;;;
45;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 35 ; 215.984 ; 796 ; 8.012.605 ; 3.941 ; 60.252.283 ; 4.772 ; 68.480.872 ; 1.764 ; 90.531.084 ; 113 ; 38.009.094 ; 1.877 ; 128.540.177 ; 6.649 ; 197.021.050 ;;;;
46;33.923.798;BANCO MÁXIMA S.A.; 47 ; 1.256.353 ; 291 ; 10.195.977 ; 55 ; 3.817.562 ; 240 ; 10.641.454 ; 633 ; 25.911.346 ; 279 ; 93.695.416 ; 1.326 ; 71.949.255 ; 1.605 ; 165.644.671 ; 2.238 ; 191.556.018 ;;;;
47;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 5 ; 76.000.000 ; 6 ; 15.769.256 ; 8 ; 3.383.366 ; 15 ; 309.397 ; 34 ; 95.462.019 ; 7 ; 12.140.000 ; 12 ; 76.360.000 ; 19 ; 88.500.000 ; 53 ; 183.962.019 ;;;;
48;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 47 ; 847.959 ; 864 ; 20.390.269 ; 673 ; 9.658.903 ; 2.550 ; 60.399.232 ; 4.134 ; 91.296.363 ; 1.128 ; 69.477.136 ;;; 1.128 ; 69.477.136 ; 5.262 ; 160.773.500 ;;;;
