Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jan/2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
36;58.160.789;BANCO SAFRA S.A.; 197 ; 33.600.804 ; 890 ; 133.388.913 ; 827 ; 182.131.593 ; 1.772 ; 139.796.341 ; 3.686 ; 488.917.651 ; 302 ; 189.377.432 ; 287 ; 143.366.852 ; 589 ; 332.744.284 ; 4.275 ; 821.661.935 ;
37;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 77 ; 235.517.756 ; 15 ; 2.192.733 ; 92 ; 81.215.787 ; 213 ; 132.039.006 ; 397 ; 450.965.282 ; 56 ; 80.842.894 ; 66 ; 236.181.588 ; 122 ; 317.024.482 ; 519 ; 767.989.764 ;
38;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 51 ; 58.444.591 ; 246 ; 53.825.395 ; 18 ; 153.600.986 ; 279 ; 189.662.128 ; 594 ; 455.533.100 ; 31 ; 77.489.202 ; 19 ; 46.547.306 ; 50 ; 124.036.508 ; 644 ; 579.569.608 ;
39;15.114.366;BANCO BOCOM BBM S.A.; 14 ; 6.643.279 ; 98 ; 18.337.934 ; 30 ; 82.688.334 ; 187 ; 50.674.803 ; 329 ; 158.344.350 ; 7 ; 18.543.115 ; 23 ; 325.238.571 ; 30 ; 343.781.686 ; 359 ; 502.126.036 ;
40;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 4 ; 36.471.272 ; 2 ; 836.736 ; 2 ; 1.137 ; 417 ; 187.106.769 ; 425 ; 224.415.914 ; 17 ; 208.587.840 ; 8 ; 53.536.498 ; 25 ; 262.124.338 ; 450 ; 486.540.253 ;
41;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;;;;; 2.443 ; 12.373.180 ; 165.105 ; 132.386.807 ; 167.548 ; 144.759.987 ; 1.372 ; 218.824.810 ; 1.352 ; 98.743.885 ; 2.724 ; 317.568.696 ; 170.272 ; 462.328.683 ;
42;33.923.798;BANCO MASTER S/A; 108 ; 63.352.901 ; 356 ; 15.079.229 ; 19.121 ; 83.716.225 ; 65.500 ; 136.774.144 ; 85.085 ; 298.922.500 ; 84 ; 96.886.913 ; 49 ; 57.750.285 ; 133 ; 154.637.198 ; 85.218 ; 453.559.698 ;
43;07.656.500;BANCO KDB DO BRASIL S.A.;;; 1 ; 899.038 ; 80 ; 28.184.266 ; 314 ; 193.348.090 ; 395 ; 222.431.395 ; 71 ; 203.595.546 ; 11 ; 17.491.117 ; 82 ; 221.086.663 ; 477 ; 443.518.058 ;
44;71.027.866;BANCO BS2 S.A.; 301 ; 52.074.895 ; 1.117 ; 62.279.732 ; 8.212 ; 120.185.406 ; 22.072 ; 116.859.423 ; 31.702 ; 351.399.456 ; 51 ; 51.108.343 ; 47 ; 39.627.364 ; 98 ; 90.735.707 ; 31.800 ; 442.135.163 ;
45;00.997.185;BANCO B3 S.A.;;;;; 140 ; 113.169.770 ; 134 ; 160.940.890 ; 274 ; 274.110.660 ; 40 ; 68.672.500 ; 34 ; 20.894.278 ; 74 ; 89.566.778 ; 348 ; 363.677.438 ;
