Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Fev/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 61 ; 478.404.293 ; 58 ; 13.309.688 ; 113 ; 293.738.901 ; 360 ; 256.683.564 ; 592 ; 1.042.136.446 ; 60 ; 407.456.197 ; 76 ; 917.458.416 ; 136,0 ; 1.324.914.612,7 ; 728 ; 2.367.051.059 ;
26;75.647.891;BANCO CRêDIT AGRICOLE BRASIL S.A.; 23 ; 87.207.258 ; 17 ; 3.879.184 ; 28 ; 285.409.776 ; 94 ; 24.624.466 ; 162 ; 401.120.685 ; 78 ; 694.868.907 ; 101 ; 1.108.699.171 ; 179,0 ; 1.803.568.077,9 ; 341 ; 2.204.688.763 ;
27;68.900.810;BANCO RENDIMENTO S.A.; 103 ; 2.523.471 ; 330 ; 13.205.469 ; 6.846 ; 167.896.496 ; 6.699 ; 380.977.499 ; 13.978 ; 564.602.935 ; 709 ; 872.716.908 ; 12.744 ; 620.460.947 ; 13.453,0 ; 1.493.177.855,5 ; 27.431 ; 2.057.780.790 ;
28;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 255 ; 372.483.638 ; 603 ; 166.287.100 ; 553 ; 275.977.826 ; 853 ; 142.426.753 ; 2.264 ; 957.175.317 ; 83 ; 258.787.799 ; 102 ; 580.238.693 ; 185,0 ; 839.026.491,5 ; 2.449 ; 1.796.201.808 ;
29;62.232.889;BANCO DAYCOVAL S.A.; 246 ; 118.897.066 ; 904 ; 126.735.779 ; 1.161 ; 65.323.442 ; 5.918 ; 203.146.519 ; 8.229 ; 514.102.806 ; 604 ; 615.372.418 ; 639 ; 466.359.228 ; 1.243,0 ; 1.081.731.645,9 ; 9.472 ; 1.595.834.452 ;
30;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 6 ; 7.917.856 ; 2 ; 56.704 ; 290 ; 95.370.967 ; 233 ; 49.271.539 ; 531 ; 152.617.066 ; 104 ; 574.680.857 ; 114 ; 695.845.654 ; 218,0 ; 1.270.526.510,5 ; 749 ; 1.423.143.576 ;
31;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 15 ; 433.000.000 ; 3 ; 157.600.000 ; 18 ; 590.600.000 ; 3 ; 157.600.000 ; 15 ; 433.000.000 ; 18,0 ; 590.600.000,0 ; 36 ; 1.181.200.000 ;
32;28.195.667;BANCO ABC BRASIL S.A.; 109 ; 71.125.117 ; 195 ; 29.484.423 ; 42 ; 12.025.014 ; 476 ; 29.305.178 ; 822 ; 141.939.732 ; 17 ; 288.442.331 ; 45 ; 672.114.053 ; 62,0 ; 960.556.383,8 ; 884 ; 1.102.496.116 ;
33;49.336.860;ING BANK N.V.; 61 ; 269.933.733 ; 1 ; 3.193.299 ; 11 ; 47.461.393 ; 172 ; 31.010.434 ; 245 ; 351.598.859 ; 4 ; 40.196.788 ; 40 ; 578.259.198 ; 44,0 ; 618.455.986,5 ; 289 ; 970.054.846 ;
34;15.114.366;BANCO BBM S/A; 39 ; 24.302.610 ; 6 ; 18.261.896 ; 26 ; 58.350.661 ; 88 ; 102.729.949 ; 159 ; 203.645.115 ; 47 ; 394.088.877 ; 53 ; 352.082.251 ; 100,0 ; 746.171.128,9 ; 259 ; 949.816.244 ;
35;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 232 ; 159.489.423 ; 238 ; 135.413.814 ; 470 ; 294.903.236 ; 21 ; 313.264.188 ; 80 ; 337.400.000 ; 101,0 ; 650.664.188,3 ; 571 ; 945.567.425 ;
36;00.360.305;CAIXA ECONOMICA FEDERAL; 309 ; 24.470.632 ; 368 ; 9.760.304 ; 8.798 ; 120.925.382 ; 13.974 ; 135.736.924 ; 23.449 ; 290.893.241 ; 172 ; 299.318.690 ; 163 ; 289.765.384 ; 335,0 ; 589.084.073,5 ; 23.784 ; 879.977.315 ;
37;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES; 20 ; 3.616.017 ; 10 ; 466.723 ; 7 ; 16.596 ; 10 ; 60.298 ; 47 ; 4.159.634 ; 96 ; 422.870.000 ; 107 ; 415.360.000 ; 203,0 ; 838.230.000,0 ; 250 ; 842.389.634 ;
38;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ñ BANCO DE INVESTIMENTO; 13 ; 58.403.084 ; 11 ; 13.865.754 ; 22 ; 7.660.329 ; 141 ; 81.985.017 ; 187 ; 161.914.185 ; 41 ; 366.428.023 ; 46 ; 313.546.050 ; 87,0 ; 679.974.073,8 ; 274 ; 841.888.259 ;
39;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 14 ; 1.160.182 ; 38 ; 743.071 ; 79 ; 24.300.097 ; 180 ; 23.632.091 ; 311 ; 49.835.441 ; 163 ; 388.251.300 ; 208 ; 390.505.360 ; 371,0 ; 778.756.660,0 ; 682 ; 828.592.101 ;
40;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 2 ; 325.976 ; 5 ; 785.942 ; 24 ; 1.348.682 ; 47 ; 2.102.163 ; 78 ; 4.562.763 ; 38 ; 380.489.538 ; 57 ; 382.140.308 ; 95,0 ; 762.629.846,0 ; 173 ; 767.192.609 ;
41;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÈLTIPLO; 17 ; 154.753.584 ; 16 ; 42.179.987 ; 10 ; 106.934.823 ; 79 ; 6.059.575 ; 122 ; 309.927.969 ; 16 ; 72.959.689 ; 34 ; 301.435.102 ; 50,0 ; 374.394.790,8 ; 172 ; 684.322.760 ;
42;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 1.449 ; 179.887.577 ; 2.490 ; 154.617.547 ; 766 ; 19.064.779 ; 3.210 ; 71.163.050 ; 7.915 ; 424.732.953 ; 60 ; 128.102.325 ; 52 ; 100.248.811 ; 112,0 ; 228.351.135,6 ; 8.027 ; 653.084.088 ;
43;13.059.145;BEXS BANCO DE C∂MBIO S/A; 54 ; 64.783.716 ; 282 ; 15.148.724 ; 290 ; 47.878.910 ; 689 ; 38.490.103 ; 1.315 ; 166.301.454 ; 595 ; 207.361.783 ; 588 ; 266.539.382 ; 1.183,0 ; 473.901.164,8 ; 2.498 ; 640.202.619 ;
44;03.512.293;FITTA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.; 16 ; 528.144 ; 57 ; 948.199 ; 778 ; 11.411.871 ; 2.536 ; 58.448.873 ; 3.387 ; 71.337.087 ; 5.471 ; 307.970.104 ; 1.077 ; 260.723.400 ; 6.548,0 ; 568.693.504,1 ; 9.935 ; 640.030.591 ;
45;52.937.216;BEXS CORRETORA DE C∂MBIO S/A;;;;; 623 ; 1.538.672 ; 6.187 ; 41.994.872 ; 6.810 ; 43.533.543 ; 1.325 ; 305.473.397 ; 354 ; 265.028.380 ; 1.679,0 ; 570.501.776,6 ; 8.489 ; 614.035.320 ;
46;73.622.748;B & T ASSOCIADOS CORRETORA DE C∂MBIO LTDA.; 54 ; 1.079.780 ; 816 ; 22.537.671 ; 1.190 ; 10.092.924 ; 3.086 ; 176.863.605 ; 5.146 ; 210.573.979 ; 5.928 ; 282.441.811 ; 451 ; 94.131.269 ; 6.379,0 ; 376.573.079,3 ; 11.525 ; 587.147.059 ;
