Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Junho/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
27;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 456 ; 205.503.210 ; 1.910 ; 219.029.181 ; 54.558 ; 464.380.053 ; 36.698 ; 167.993.335 ; 93.622 ; 1.056.905.779 ; 288 ; 442.419.715 ; 2.160 ; 846.873.908 ; 2.448 ; 1.289.293.623 ; 96.070 ; 2.346.199.402 ;
28;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 103 ; 58.915.222 ; 262 ; 468.091.507 ; 4.182 ; 143.775.011 ; 567 ; 100.375.089 ; 5.114 ; 771.156.829 ; 62 ; 890.455.379 ; 45 ; 524.208.784 ; 107 ; 1.414.664.163 ; 5.221 ; 2.185.820.992 ;
29;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.;CONFIDENCE - PRUDENCIAL; 718 ; 69.055.196 ; 1.734 ; 68.642.868 ; 4.533 ; 197.376.227 ; 5.133 ; 430.766.988 ; 12.118 ; 765.841.279 ; 1.603 ; 698.033.820 ; 4.332 ; 498.190.101 ; 5.935 ; 1.196.223.921 ; 18.053 ; 1.962.065.200 ;
30;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 64 ; 37.155.026 ; 62 ; 8.251.652 ; 67 ; 278.623.664 ; 217 ; 124.807.417 ; 410 ; 448.837.759 ; 62 ; 501.168.919 ; 75 ; 577.825.970 ; 137 ; 1.078.994.889 ; 547 ; 1.527.832.648 ;
31;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 114 ; 91.482.833 ; 616 ; 72.881.940 ; 75 ; 50.311.955 ; 466 ; 167.435.738 ; 1.271 ; 382.112.466 ; 98 ; 590.201.364 ; 113 ; 364.247.970 ; 211 ; 954.449.334 ; 1.482 ; 1.336.561.800 ;
32;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 488 ; 137.498.957 ; 1.023 ; 88.333.763 ; 21.034 ; 416.565.966 ; 18.722 ; 178.396.633 ; 41.267 ; 820.795.319 ; 289 ; 107.127.540 ; 305 ; 394.642.881 ; 594 ; 501.770.421 ; 41.861 ; 1.322.565.740 ;
33;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 5.919 ; 1.672.001 ; 44 ; 36.228 ; 1.097.902 ; 460.729.135 ; 1.366.819 ; 443.689.198 ; 2.470.684 ; 906.126.562 ; 901 ; 193.395.794 ; 915 ; 212.072.227 ; 1.816 ; 405.468.021 ; 2.472.500 ; 1.311.594.583 ;
34;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;UBS (BRASIL) - PRUDENCIAL; -   ; -   ; -   ; -   ; 83 ; 385.843.244 ; 99 ; 435.689.059 ; 182 ; 821.532.303 ; 15 ; 305.473.827 ; 6 ; 50.473.966 ; 21 ; 355.947.793 ; 203 ; 1.177.480.096 ;
35;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 8 ; 95.740.451 ; 13 ; 1.756.397 ; 19 ; 110.197.630 ; 69 ; 17.217.134 ; 109 ; 224.911.612 ; 68 ; 373.139.686 ; 72 ; 558.806.289 ; 140 ; 931.945.975 ; 249 ; 1.156.857.587 ;
36;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;SCOTIABANK BRASIL - PRUDENCIAL; 1 ; 4.000.000 ; -   ; -   ; 20 ; 31.998.529 ; 113 ; 222.490.508 ; 134 ; 258.489.037 ; 21 ; 545.511.865 ; 15 ; 344.760.865 ; 36 ; 890.272.730 ; 170 ; 1.148.761.767 ;
37;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 16 ; 1.540.963 ; 321 ; 20.336.176 ; 190.950 ; 392.810.924 ; 3.595 ; 68.716.193 ; 194.882 ; 483.404.256 ; 1.556 ; 174.636.471 ; 5.144 ; 467.525.054 ; 6.700 ; 642.161.525 ; 201.582 ; 1.125.565.781 ;
