Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Out/2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
29;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 2.794 ; 236.209.339 ; 16.035 ; 674.924.633 ; 12.108 ; 923.697.069 ; 35.362 ; 1.367.696.118 ; 66.299 ; 3.202.527.159 ; 8.815 ; 3.257.084.018 ; 67.328 ; 2.352.243.571 ; 76.143 ; 5.609.327.590 ; 142.442 ; 8.811.854.748 ;;;;
30;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 712 ; 54.839.621 ; 6.666 ; 271.225.154 ; 3.366 ; 1.000.182.497 ; 813.166 ; 1.449.969.897 ; 823.910 ; 2.776.217.168 ; 2.482 ; 2.983.358.804 ; 3.599 ; 2.320.478.554 ; 6.081 ; 5.303.837.359 ; 829.991 ; 8.080.054.526 ;;;;
31;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.544 ; 812.745.873 ; 6.161 ; 1.278.295.737 ; 3.827 ; 1.559.703.908 ; 5.594 ; 688.731.341 ; 17.126 ; 4.339.476.859 ; 843 ; 1.647.914.705 ; 853 ; 2.049.420.312 ; 1.696 ; 3.697.335.017 ; 18.822 ; 8.036.811.876 ;;;;
32;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 173 ; 495.797.537 ; 121 ; 127.039.831 ; 156 ; 1.275.598.345 ; 1.227 ; 977.343.344 ; 1.677 ; 2.875.779.058 ; 202 ; 2.316.337.147 ; 242 ; 2.834.322.880 ; 444 ; 5.150.660.027 ; 2.121 ; 8.026.439.084 ;;;;
33;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO; 46 ; 148.074.301 ; 151 ; 131.684.431 ; 305 ; 1.131.305.478 ; 662 ; 1.158.640.580 ; 1.164 ; 2.569.704.790 ; 842 ; 2.685.449.841 ; 1.214 ; 2.601.195.983 ; 2.056 ; 5.286.645.825 ; 3.220 ; 7.856.350.615 ;;;;
34;62.232.889;BANCO DAYCOVAL S.A.; 5.462 ; 855.752.678 ; 6.415 ; 398.771.423 ; 9.549 ; 357.098.776 ; 30.059 ; 1.558.452.790 ; 51.485 ; 3.170.075.665 ; 4.734 ; 2.583.129.587 ; 14.706 ; 1.878.688.819 ; 19.440 ; 4.461.818.405 ; 70.925 ; 7.631.894.071 ;;;;
35;13.059.145;BEXS BANCO DE CÂMBIO S/A; 253 ; 1.364.814.287 ; 351 ; 17.500.383 ; 3.059 ; 400.734.443 ; 13.428 ; 1.808.415.058 ; 17.091 ; 3.591.464.172 ; 921 ; 1.514.118.067 ; 580 ; 1.455.753.822 ; 1.501 ; 2.969.871.888 ; 18.592 ; 6.561.336.060 ;;;;
36;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 60 ; 310.100.912 ; 218 ; 148.156.121 ; 165 ; 706.845.932 ; 312 ; 730.738.264 ; 755 ; 1.895.841.229 ; 305 ; 1.843.305.843 ; 396 ; 1.984.740.228 ; 701 ; 3.828.046.071 ; 1.456 ; 5.723.887.300 ;;;;
37;62.144.175;BANCO PINE S.A.; 276 ; 202.987.687 ; 2.379 ; 301.139.886 ; 168 ; 335.617.545 ; 827 ; 320.036.662 ; 3.650 ; 1.159.781.780 ; 519 ; 2.203.933.489 ; 1.487 ; 2.066.434.417 ; 2.006 ; 4.270.367.905 ; 5.656 ; 5.430.149.686 ;;;;
38;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 1.869 ; 1.585.897.841 ; 3.824 ; 1.671.991.782 ; 5.693 ; 3.257.889.623 ; 216 ; 1.075.992.519 ; 511 ; 1.002.800.000 ; 727 ; 2.078.792.519 ; 6.420 ; 5.336.682.142 ;;;;
39;71.027.866;BANCO BS2 S.A.; 908 ; 134.219.099 ; 5.014 ; 252.766.440 ; 8.971 ; 1.003.208.147 ; 13.961 ; 810.994.492 ; 28.854 ; 2.201.188.177 ; 1.430 ; 1.377.021.757 ; 29.676 ; 1.435.592.252 ; 31.106 ; 2.812.614.008 ; 59.960 ; 5.013.802.185 ;;;;
40;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 752 ; 562.697.479 ; 1.665 ; 359.359.933 ; 968 ; 383.359.971 ; 1.292 ; 617.034.466 ; 4.677 ; 1.922.451.849 ; 957 ; 1.586.573.168 ; 961 ; 1.478.813.855 ; 1.918 ; 3.065.387.023 ; 6.595 ; 4.987.838.872 ;;;;
41;58.616.418;BANCO FIBRA S.A.; 637 ; 725.490.373 ; 4.427 ; 689.097.489 ; 708 ; 668.855.090 ; 2.462 ; 399.501.045 ; 8.234 ; 2.482.943.998 ; 268 ; 1.109.877.626 ; 293 ; 1.394.008.151 ; 561 ; 2.503.885.778 ; 8.795 ; 4.986.829.775 ;;;;
42;33.923.798;BANCO MÁXIMA S.A.; 731 ; 793.372.973 ; 3.096 ; 122.956.584 ; 12.696 ; 297.479.340 ; 152.676 ; 1.409.757.231 ; 169.199 ; 2.623.566.128 ; 563 ; 1.215.729.365 ; 313 ; 783.261.357 ; 876 ; 1.998.990.722 ; 170.075 ; 4.622.556.851 ;;;;
43;10.690.848;BANCO DA CHINA BRASIL S.A.; 125 ; 1.492.109.113 ; 219 ; 45.830.111 ; 179 ; 195.865.946 ; 491 ; 361.393.984 ; 1.014 ; 2.095.199.154 ; 258 ; 333.042.823 ; 274 ; 1.613.974.127 ; 532 ; 1.947.016.950 ; 1.546 ; 4.042.216.104 ;;;;
