Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em AGOSTO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
32;00.360.305;CAIXA ECONOMICA FEDERAL; 218 ; 36.696.877 ; 126 ; 5.319.738 ; 8.065 ; 99.882.320 ; 1.639 ; 108.112.504 ; 10.048 ; 250.011.439 ; 99 ; 127.396.796 ; 110 ; 150.342.010 ; 209 ; 277.738.806 ; 10.257 ; 527.750.245 
33;03.532.415;BANCO ABN AMRO S.A.; 8 ; 21.219.877 ;;; 47 ; 217.452.846 ; 51 ; 205.021.861 ; 106 ; 443.694.584 ; 8 ; 18.487.034 ; 14 ; 51.969.801 ; 22 ; 70.456.835 ; 128 ; 514.151.419 
34;58.616.418;BANCO FIBRA S.A.; 107 ; 120.623.987 ; 426 ; 51.973.376 ; 94 ; 90.806.629 ; 291 ; 95.160.129 ; 918 ; 358.564.121 ; 25 ; 14.111.577 ; 42 ; 135.657.023 ; 67 ; 149.768.600 ; 985 ; 508.332.721 
35;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 1 ; 10.000.000 ; 30 ; 17.803.413 ; 15 ; 169.696.738 ; 19 ; 141.047.090 ; 65 ; 338.547.241 ; 20 ; 63.792.567 ; 19 ; 89.822.432 ; 39 ; 153.614.998 ; 104 ; 492.162.239 
36;13.059.145;BEXS BANCO DE CÂMBIO S/A; 19 ; 95.393.212 ; 41 ; 1.564.275 ; 143 ; 14.103.321 ; 409 ; 117.525.402 ; 612 ; 228.586.211 ; 143 ; 119.996.826 ; 54 ; 108.844.214 ; 197 ; 228.841.040 ; 809 ; 457.427.251 
37;62.232.889;BANCO DAYCOVAL S.A.; 642 ; 90.821.217 ; 711 ; 38.869.148 ; 781 ; 17.956.733 ; 2.213 ; 46.928.100 ; 4.347 ; 194.575.198 ; 440 ; 127.457.311 ; 2.388 ; 132.580.691 ; 2.828 ; 260.038.002 ; 7.175 ; 454.613.200 
38;71.027.866;BANCO BONSUCESSO S.A.; 50 ; 4.666.666 ; 236 ; 15.014.967 ; 612 ; 69.525.539 ; 811 ; 53.303.278 ; 1.709 ; 142.510.450 ; 308 ; 123.522.830 ; 2.159 ; 133.154.371 ; 2.467 ; 256.677.201 ; 4.176 ; 399.187.651 
39;10.690.848;BANCO DA CHINA BRASIL S.A.; 160 ; 47.865.491 ; 19 ; 3.985.660 ; 17 ; 133.663.257 ; 66 ; 17.064.022 ; 262 ; 202.578.430 ; 32 ; 10.913.069 ; 37 ; 171.415.986 ; 69 ; 182.329.055 ; 331 ; 384.907.484 
40;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 48 ; 46.891.208 ; 142 ; 30.734.434 ; 100 ; 68.633.195 ; 64 ; 6.108.468 ; 354 ; 152.367.306 ; 72 ; 59.682.476 ; 76 ; 146.940.993 ; 148 ; 206.623.468 ; 502 ; 358.990.774 
41;30.723.886;BANCO MODAL S.A.; 17 ; 23.123.685 ; 106 ; 16.821.149 ; 94 ; 67.825.564 ; 135 ; 23.184.563 ; 352 ; 130.954.961 ; 21 ; 86.588.563 ; 29 ; 135.017.417 ; 50 ; 221.605.980 ; 402 ; 352.560.941 
42;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 1.012 ; 72.226.703 ; 1.105 ; 56.209.069 ; 529 ; 63.905.192 ; 1.295 ; 31.558.972 ; 3.941 ; 223.899.936 ; 29 ; 24.584.003 ; 46 ; 76.962.991 ; 75 ; 101.546.994 ; 4.016 ; 325.446.930 
43;92.894.922;BANCO ORIGINAL S.A.; 31 ; 131.729.053 ; 29 ; 5.589.162 ; 47 ; 23.424 ; 213 ; 4.547.060 ; 320 ; 141.888.698 ; 15 ; 499.578 ; 11 ; 110.025.461 ; 26 ; 110.525.039 ; 346 ; 252.413.737 
44;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 150 ; 2.920.653 ; 685 ; 16.895.051 ; 1.765 ; 19.827.602 ; 2.927 ; 46.958.452 ; 5.527 ; 86.601.758 ; 2.917 ; 95.541.822 ; 271 ; 53.858.008 ; 3.188 ; 149.399.830 ; 8.715 ; 236.001.589 
45;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 3 ; 253.723 ; 82 ; 6.393.580 ; 106 ; 21.194.057 ; 298 ; 88.564.109 ; 489 ; 116.405.468 ; 145 ; 87.884.980 ; 31 ; 14.383.955 ; 176 ; 102.268.934 ; 665 ; 218.674.403 
46;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 79 ; 125.930.547 ;;; 98 ; 33.734.611 ; 37 ; 602.238 ; 214 ; 160.267.397 ; 2 ; 23.377.280 ; 2 ; 35.000.000 ; 4 ; 58.377.280 ; 218 ; 218.644.677 
47;15.114.366;BANCO BBM S/A; 16 ; 15.711.289 ; 4 ; 37.378 ; 33 ; 43.924.058 ; 112 ; 54.943.225 ; 165 ; 114.615.950 ; 5 ; 66.618.507 ; 3 ; 25.457.927 ; 8 ; 92.076.433 ; 173 ; 206.692.383 
48;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;;;;; 2 ; 160.334 ; 10 ; 121.525 ; 12 ; 281.859 ; 5 ; 95.570.609 ; 6 ; 97.069.750 ; 11 ; 192.640.359 ; 23 ; 192.922.218 
49;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 81 ; 42.225.401 ; 93 ; 57.982.028 ; 174 ; 100.207.429 ; 35 ; 42.509.000 ; 18 ; 26.757.508 ; 53 ; 69.266.508 ; 227 ; 169.473.936 
50;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 7 ; 104.562 ; 49 ; 760.119 ; 764 ; 42.698.877 ; 5.030 ; 68.690.018 ; 5.850 ; 112.253.575 ; 496 ; 39.310.576 ; 603 ; 12.176.650 ; 1.099 ; 51.487.225 ; 6.949 ; 163.740.801 
51;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 12 ; 2.846.093 ; 4 ; 1.735.234 ; 2.015 ; 67.317.753 ; 85 ; 2.601.868 ; 2.116 ; 74.500.947 ; 39 ; 3.684.436 ; 117 ; 69.511.897 ; 156 ; 73.196.333 ; 2.272 ; 147.697.280 
52;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 234 ; 6.073.012 ; 1.576 ; 25.148.029 ; 2.043 ; 16.969.713 ; 4.496 ; 31.131.610 ; 8.349 ; 79.322.364 ; 738 ; 50.615.123 ; 238 ; 17.501.652 ; 976 ; 68.116.774 ; 9.325 ; 147.439.138 
53;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 190 ; 59.954.663 ; 247 ; 24.535.870 ; 437 ; 84.490.533 ; 6 ; 9.291.952 ; 60 ; 44.250.000 ; 66 ; 53.541.952 ; 503 ; 138.032.485 
54;03.609.817;BANCO CARGILL S.A.; 10 ; 13.894.454 ; 3 ; 2.552.330 ; 2 ; 130.603 ; 34 ; 1.584.586 ; 49 ; 18.161.973 ;;; 3 ; 110.000.000 ; 3 ; 110.000.000 ; 52 ; 128.161.973 
55;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 1 ; 818.831 ; 16 ; 946.419 ; 11 ; 16.128.961 ; 19 ; 644.914 ; 47 ; 18.539.125 ; 27 ; 41.692.115 ; 30 ; 65.807.208 ; 57 ; 107.499.323 ; 104 ; 126.038.448 
56;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 126 ; 169.521 ; 271 ; 771.699 ; 397 ; 941.220 ; 574 ; 58.344.322 ; 352 ; 57.729.203 ; 926 ; 116.073.525 ; 1.323 ; 117.014.745 
57;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 45 ; 794.411 ; 226 ; 2.596.665 ; 1.510 ; 9.419.999 ; 4.471 ; 52.674.398 ; 6.252 ; 65.485.474 ; 1.078 ; 45.155.332 ; 10 ; 159.489 ; 1.088 ; 45.314.821 ; 7.340 ; 110.800.295 
58;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 771 ; 41.778.200 ; 322 ; 9.580.037 ; 326 ; 6.795.288 ; 219 ; 19.385.571 ; 1.638 ; 77.539.096 ; 10 ; 5.484.755 ; 21 ; 25.390.695 ; 31 ; 30.875.450 ; 1.669 ; 108.414.546 
59;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 75 ; 41.517.266 ; 53 ; 4.769.558 ; 63 ; 3.918.482 ; 51 ; 1.630.483 ; 242 ; 51.835.788 ; 29 ; 9.557.723 ; 55 ; 45.864.961 ; 84 ; 55.422.684 ; 326 ; 107.258.473 
60;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 1.019 ; 10.212.941 ; 3.717 ; 51.661.763 ; 4.736 ; 61.874.704 ; 3.001 ; 41.072.506 ; 10 ; 152.506 ; 3.011 ; 41.225.012 ; 7.747 ; 103.099.716 
61;59.118.133;BANCO LUSO BRASILEIRO S.A.; 57 ; 5.971.822 ; 340 ; 21.594.606 ; 92 ; 14.667.060 ; 179 ; 14.815.004 ; 668 ; 57.048.492 ; 279 ; 30.882.345 ; 90 ; 15.109.390 ; 369 ; 45.991.735 ; 1.037 ; 103.040.227 
62;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 123 ; 2.173.681 ; 1.181 ; 21.919.749 ; 747 ; 9.177.160 ; 2.150 ; 22.441.285 ; 4.201 ; 55.711.875 ; 1.381 ; 38.606.644 ; 32 ; 5.404.772 ; 1.413 ; 44.011.416 ; 5.614 ; 99.723.291 
63;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 47 ; 731.822 ; 313 ; 5.217.447 ; 616 ; 6.867.962 ; 1.682 ; 17.716.577 ; 2.658 ; 30.533.809 ; 1.966 ; 36.128.073 ; 222 ; 20.810.857 ; 2.188 ; 56.938.930 ; 4.846 ; 87.472.739 
64;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; 31 ; 5.374.197 ; 15 ; 252.172 ; 7 ; 1.554.842 ; 42 ; 25.624.321 ; 95 ; 32.805.532 ; 6 ; 33.081.158 ; 5 ; 4.182.852 ; 11 ; 37.264.010 ; 106 ; 70.069.542 
65;13.720.915;BANCO WESTERN UNION DO BRASIL S.A.;;;;;;; 1 ; 1.137 ; 1 ; 1.137 ; 41 ; 33.943.312 ; 77 ; 33.961.373 ; 118 ; 67.904.686 ; 119 ; 67.905.822 
66;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 186 ; 4.154.075 ; 887 ; 20.979.851 ; 494 ; 6.501.867 ; 743 ; 7.790.970 ; 2.310 ; 39.426.763 ; 327 ; 21.733.353 ; 32 ; 3.609.584 ; 359 ; 25.342.937 ; 2.669 ; 64.769.700 
67;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 14 ; 25.047.978 ; 11 ; 1.930.140 ; 5 ; 293.892 ; 15 ; 1.259.591 ; 45 ; 28.531.601 ; 7 ; 8.419.625 ; 30 ; 26.229.866 ; 37 ; 34.649.491 ; 82 ; 63.181.092 
68;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO; 513 ; 20.368.794 ; 198 ; 4.674.692 ; 96 ; 482.015 ; 241 ; 1.192.428 ; 1.048 ; 26.717.929 ; 20 ; 11.058.704 ; 61 ; 24.560.450 ; 81 ; 35.619.154 ; 1.129 ; 62.337.082 
69;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 87 ; 2.202.248 ; 1.081 ; 20.848.757 ; 290 ; 6.248.927 ; 911 ; 6.529.867 ; 2.369 ; 35.829.799 ; 380 ; 20.647.322 ; 18 ; 1.702.251 ; 398 ; 22.349.573 ; 2.767 ; 58.179.372 
70;76.641.497;DOURADA CORRETORA DE CÂMBIO LTDA.; 190 ; 12.483.095 ; 207 ; 4.087.416 ; 492 ; 2.513.740 ; 1.472 ; 7.328.124 ; 2.361 ; 26.412.375 ; 746 ; 12.023.767 ; 140 ; 15.697.652 ; 886 ; 27.721.419 ; 3.247 ; 54.133.795 
71;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 6 ; 407.194 ; 42 ; 11.396.479 ; 84 ; 14.771.459 ; 112 ; 12.739.583 ; 244 ; 39.314.715 ; 23 ; 11.582.978 ; 8 ; 2.700.000 ; 31 ; 14.282.978 ; 275 ; 53.597.693 
72;60.889.128;BANCO SOFISA S.A.; 121 ; 17.925.108 ; 73 ; 3.498.766 ; 9 ; 347.976 ; 81 ; 2.878.359 ; 284 ; 24.650.210 ; 10 ; 21.588.481 ; 7 ; 4.071.719 ; 17 ; 25.660.200 ; 301 ; 50.310.409 
73;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 41 ; 926.799 ; 770 ; 15.719.343 ; 373 ; 2.298.082 ; 980 ; 6.581.569 ; 2.164 ; 25.525.792 ; 1.267 ; 21.491.237 ; 155 ; 2.430.515 ; 1.422 ; 23.921.752 ; 3.586 ; 49.447.545 
74;07.679.404;BANCO TOPÁZIO S.A.;;; 3 ; 39.684 ; 47 ; 3.417.476 ; 138 ; 23.904.788 ; 188 ; 27.361.948 ; 47 ; 21.320.636 ; 5 ; 743.410 ; 52 ; 22.064.046 ; 240 ; 49.425.994 
75;61.186.680;BANCO BMG S.A.; 3 ; 4.900.517 ; 2 ; 259.015 ; 4 ; 5.685.250 ; 19 ; 8.322.835 ; 28 ; 19.167.617 ; 3 ; 17.259.307 ; 4 ; 12.035.300 ; 7 ; 29.294.607 ; 35 ; 48.462.224 
76;17.508.380;UNIÃO ALTERNATIVA CORRETORA DE CÂMBIO LTDA.;;;;; 416 ; 3.418.817 ; 477 ; 7.491.592 ; 893 ; 10.910.409 ; 672 ; 20.703.880 ; 89 ; 16.603.286 ; 761 ; 37.307.166 ; 1.654 ; 48.217.575 
77;33.923.798;BANCO MÁXIMA S.A.; 14 ; 11.870.104 ; 21 ; 1.531.211 ; 71 ; 4.858.928 ; 2.665 ; 10.085.565 ; 2.771 ; 28.345.808 ; 17 ; 3.737.321 ; 16 ; 15.925.705 ; 33 ; 19.663.025 ; 2.804 ; 48.008.834 
78;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 45 ; 12.310.534 ; 31 ; 2.670.636 ; 22 ; 3.269.061 ; 33 ; 581.683 ; 131 ; 18.831.913 ; 14 ; 5.803.235 ; 30 ; 18.132.516 ; 44 ; 23.935.751 ; 175 ; 42.767.664 
79;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 15 ; 9.021.336 ; 19 ; 12.886.665 ; 34 ; 21.908.001 ; 7 ; 12.110.972 ; 9 ; 8.648.025 ; 16 ; 20.758.997 ; 50 ; 42.666.998 
