Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Jun/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 227 ; 1.232.629.735 ; 201 ; 94.717.843 ; 334 ; 747.693.264 ; 1.475 ; 728.345.685 ; 2.237 ; 2.803.386.526 ; 165 ; 1.439.401.745 ; 200 ; 2.591.477.276 ; 365,0 ; 4.030.879.022 ; 2.602 ; 6.834.265.547 ;
26;68.900.810;BANCO RENDIMENTO S.A.; 125 ; 4.167.833 ; 862 ; 39.374.911 ; 20.695 ; 360.679.952 ; 18.713 ; 1.098.053.056 ; 40.395 ; 1.502.275.751 ; 2.164 ; 2.732.648.038 ; 38.469 ; 1.918.070.876 ; 40.633,0 ; 4.650.718.914 ; 81.028 ; 6.152.994.665 ;
27;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 696 ; 639.897.914 ; 2.193 ; 760.427.328 ; 1.718 ; 1.243.609.435 ; 2.656 ; 360.396.628 ; 7.263 ; 3.004.331.306 ; 305 ; 868.932.165 ; 336 ; 1.612.858.980 ; 641,0 ; 2.481.791.145 ; 7.904 ; 5.486.122.451 ;
28;62.232.889;BANCO DAYCOVAL S.A.; 698 ; 216.654.448 ; 2.669 ; 347.432.467 ; 3.154 ; 630.873.805 ; 19.118 ; 579.494.448 ; 25.639 ; 1.774.455.168 ; 1.672 ; 1.918.370.595 ; 2.628 ; 1.781.504.358 ; 4.300,0 ; 3.699.874.953 ; 29.939 ; 5.474.330.121 ;
29;00.360.305;CAIXA ECONOMICA FEDERAL; 863 ; 419.137.663 ; 1.213 ; 53.942.569 ; 27.469 ; 907.264.675 ; 38.925 ; 523.814.988 ; 68.470 ; 1.904.159.896 ; 599 ; 1.084.272.190 ; 597 ; 1.824.043.980 ; 1.196,0 ; 2.908.316.169 ; 69.666 ; 4.812.476.066 ;
30;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ñ BANCO DE INVESTIMENTO; 68 ; 422.119.971 ; 57 ; 212.890.267 ; 99 ; 31.824.231 ; 329 ; 300.740.586 ; 553 ; 967.575.055 ; 264 ; 1.938.010.224 ; 310 ; 1.902.045.563 ; 574,0 ; 3.840.055.787 ; 1.127 ; 4.807.630.842 ;
31;75.647.891;BANCO CRêDIT AGRICOLE BRASIL S.A.; 74 ; 368.413.736 ; 29 ; 7.234.863 ; 80 ; 344.148.241 ; 304 ; 74.438.796 ; 487 ; 794.235.636 ; 294 ; 1.451.858.762 ; 327 ; 2.135.326.708 ; 621,0 ; 3.587.185.470 ; 1.108 ; 4.381.421.106 ;
32;49.336.860;ING BANK N.V.; 167 ; 1.021.432.997 ; 11 ; 27.854.461 ; 72 ; 420.272.192 ; 385 ; 378.884.758 ; 635 ; 1.848.444.408 ; 41 ; 539.935.708 ; 86 ; 1.402.973.273 ; 127,0 ; 1.942.908.981 ; 762 ; 3.791.353.389 ;
33;28.195.667;BANCO ABC BRASIL S.A.; 308 ; 274.547.112 ; 650 ; 94.139.884 ; 140 ; 215.777.270 ; 1.474 ; 216.132.739 ; 2.572 ; 800.597.005 ; 101 ; 1.376.835.000 ; 135 ; 1.476.336.751 ; 236,0 ; 2.853.171.751 ; 2.808 ; 3.653.768.756 ;
34;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 692 ; 986.852.758 ; 702 ; 291.151.751 ; 1.394 ; 1.278.004.509 ; 48 ; 775.695.442 ; 320 ; 1.470.995.382 ; 368,0 ; 2.246.690.824 ; 1.762 ; 3.524.695.333 ;
35;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 55 ; 1.044.150.000 ; 16 ; 620.400.000 ; 71 ; 1.664.550.000 ; 16 ; 620.400.000 ; 55 ; 1.044.150.000 ; 71,0 ; 1.664.550.000 ; 142 ; 3.329.100.000 ;
36;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 19 ; 10.185.281 ; 3 ; 59.709 ; 846 ; 609.901.695 ; 793 ; 287.649.639 ; 1.661 ; 907.796.323 ; 273 ; 948.304.758 ; 290 ; 1.335.174.731 ; 563,0 ; 2.283.479.489 ; 2.224 ; 3.191.275.812 ;
37;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 7 ; 6.491.777 ; 20 ; 1.099.659 ; 83 ; 35.274.790 ; 189 ; 38.115.782 ; 299 ; 80.982.008 ; 193 ; 1.491.824.040 ; 317 ; 1.509.081.944 ; 510,0 ; 3.000.905.984 ; 809 ; 3.081.887.992 ;
38;15.114.366;BANCO BBM S/A; 135 ; 91.537.304 ; 18 ; 60.493.773 ; 88 ; 65.620.556 ; 232 ; 110.761.906 ; 473 ; 328.413.538 ; 119 ; 1.240.155.324 ; 147 ; 1.179.901.460 ; 266,0 ; 2.420.056.784 ; 739 ; 2.748.470.322 ;
39;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES; 53 ; 21.076.377 ; 28 ; 1.740.833 ; 22 ; 60.169 ; 32 ; 291.078 ; 135 ; 23.168.456 ; 301 ; 1.301.780.000 ; 336 ; 1.329.600.000 ; 637,0 ; 2.631.380.000 ; 772 ; 2.654.548.456 ;
40;13.059.145;BEXS BANCO DE C∂MBIO S/A; 112 ; 335.897.212 ; 819 ; 41.710.009 ; 749 ; 93.252.816 ; 2.031 ; 111.954.884 ; 3.711 ; 582.814.921 ; 1.678 ; 738.345.030 ; 1.701 ; 1.014.188.697 ; 3.379,0 ; 1.752.533.728 ; 7.090 ; 2.335.348.648 ;
