Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jun/2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
42;10.690.848;BANCO DA CHINA BRASIL S.A.; 154 ; 969.112.480 ; 65 ; 117.828.521 ; 202 ; 679.592.416 ; 557 ; 62.838.561 ; 978 ; 1.829.371.978 ; 240 ; 322.009.390 ; 368 ; 1.790.049.005 ; 608 ; 2.112.058.395 ; 1.586 ; 3.941.430.373 ;
43;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION; -   ; -   ; -   ; -   ; 96 ; 105.709.121 ; 282 ; 1.599.880.627 ; 378 ; 1.705.589.748 ; 91 ; 1.575.596.767 ; 16 ; 80.408.736 ; 107 ; 1.656.005.503 ; 485 ; 3.361.595.251 ;
44;07.656.500;BANCO KDB DO BRASIL S.A.; 2 ; 24.000.000 ; 20 ; 10.719.316 ; 714 ; 453.568.516 ; 1.765 ; 966.040.407 ; 2.501 ; 1.454.328.239 ; 226 ; 927.903.109 ; 202 ; 478.304.649 ; 428 ; 1.406.207.758 ; 2.929 ; 2.860.535.997 ;
45;00.997.185;BANCO B3 S.A.; -   ; -   ; -   ; -   ; 1.154 ; 1.065.087.909 ; 932 ; 1.083.508.065 ; 2.086 ; 2.148.595.974 ; 192 ; 218.426.474 ; 286 ; 200.032.950 ; 478 ; 418.459.424 ; 2.564 ; 2.567.055.398 ;
46;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 420 ; 73.019.635 ; 327 ; 21.550.197 ; 24.000 ; 893.025.087 ; 1.315 ; 99.665.966 ; 26.062 ; 1.087.260.885 ; 375 ; 82.740.637 ; 1.033 ; 927.568.701 ; 1.408 ; 1.010.309.338 ; 27.470 ; 2.097.570.223 ;
47;00.360.305;CAIXA ECONOMICA FEDERAL; 626 ; 260.017.998 ; 530 ; 21.515.219 ; 43.986 ; 271.799.489 ; 19.624 ; 393.108.344 ; 64.766 ; 946.441.050 ; 944 ; 427.313.663 ; 998 ; 524.865.863 ; 1.942 ; 952.179.526 ; 66.708 ; 1.898.620.576 ;
48;33.923.798;BANCO MASTER S/A; 377 ; 315.105.709 ; 842 ; 72.846.125 ; 15.072 ; 310.479.248 ; 2.014 ; 165.213.085 ; 18.305 ; 863.644.167 ; 74 ; 220.104.420 ; 151 ; 566.164.127 ; 225 ; 786.268.547 ; 18.530 ; 1.649.912.714 ;
49;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 980 ; 27.446.794 ; 9.323 ; 228.892.795 ; 11.969 ; 279.842.277 ; 27.948 ; 423.795.690 ; 50.220 ; 959.977.556 ; 2.953 ; 483.292.610 ; 697 ; 137.623.541 ; 3.650 ; 620.916.151 ; 53.870 ; 1.580.893.707 ;
50;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 45 ; 184.905.922 ; 11 ; 1.219.549 ; 40 ; 12.787.529 ; 119 ; 146.136.827 ; 215 ; 345.049.827 ; 79 ; 569.492.602 ; 139 ; 632.022.237 ; 218 ; 1.201.514.839 ; 433 ; 1.546.564.666 ;
51;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 160 ; 331.881.010 ; -   ; -   ; 200 ; 75.381.204 ; 10 ; 340.713 ; 370 ; 407.602.927 ; -   ; -   ; 27 ; 1.030.654.566 ; 27 ; 1.030.654.566 ; 397 ; 1.438.257.493 ;
52;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 27 ; 271.020.026 ; 46 ; 6.778.585 ; 103 ; 172.733.975 ; 159 ; 251.256.335 ; 335 ; 701.788.921 ; 34 ; 240.175.647 ; 62 ; 426.246.498 ; 96 ; 666.422.145 ; 431 ; 1.368.211.066 ;
53;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 1.852 ; 378.296.379 ; 2.067 ; 178.371.431 ; 3.232 ; 119.922.271 ; 4.021 ; 102.475.352 ; 11.172 ; 779.065.433 ; 197 ; 157.437.109 ; 314 ; 364.286.246 ; 511 ; 521.723.355 ; 11.683 ; 1.300.788.788 ;
54;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.; 3 ; 433.235 ; 25 ; 1.099.172 ; 4.179 ; 392.121.064 ; 20.346 ; 587.794.368 ; 24.553 ; 981.447.839 ; 3.397 ; 251.491.157 ; 167 ; 57.420.861 ; 3.564 ; 308.912.018 ; 28.117 ; 1.290.359.857 ;
55;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 22 ; 234.011.630 ; 14 ; 5.879.770 ; 13 ; 7.694.354 ; 66 ; 2.378.849 ; 115 ; 249.964.603 ; 38 ; 362.883.687 ; 59 ; 588.817.605 ; 97 ; 951.701.292 ; 212 ; 1.201.665.895 ;
56;62.144.175;BANCO PINE S.A.; 137 ; 164.372.669 ; 731 ; 281.620.055 ; 103 ; 95.596.483 ; 1.298 ; 122.582.214 ; 2.269 ; 664.171.421 ; 81 ; 343.153.689 ; 68 ; 156.240.419 ; 149 ; 499.394.108 ; 2.418 ; 1.163.565.529 ;
57;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 4.787 ; 230.108.197 ; 6.359 ; 276.040.403 ; 4.824 ; 126.494.241 ; 2.664 ; 202.578.736 ; 18.634 ; 835.221.577 ; 111 ; 212.741.815 ; 45 ; 115.353.552 ; 156 ; 328.095.367 ; 18.790 ; 1.163.316.944 ;
58;61.024.352;BANCO VOITER S.A.; 98 ; 104.353.891 ; 571 ; 209.758.373 ; 1.077 ; 221.956.066 ; 4.951 ; 290.631.582 ; 6.697 ; 826.699.912 ; 286 ; 238.880.636 ; 257 ; 77.370.205 ; 543 ; 316.250.841 ; 7.240 ; 1.142.950.753 ;
59;03.609.817;BANCO CARGILL S.A.; 28 ; 177.785.916 ; 3 ; 253.503 ; 31 ; 44.031.366 ; 421 ; 199.491.085 ; 483 ; 421.561.870 ; 19 ; 245.000.000 ; 9 ; 412.000.000 ; 28 ; 657.000.000 ; 511 ; 1.078.561.870 ;
60;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 1.012 ; 23.300.883 ; 4.162 ; 134.507.846 ; 76.593 ; 155.677.292 ; 214.911 ; 280.022.066 ; 296.678 ; 593.508.087 ; 9.998 ; 342.702.320 ; 692 ; 107.154.395 ; 10.690 ; 449.856.715 ; 307.368 ; 1.043.364.802 ;
