Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Abr/2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
30;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 561 ; 220.962.281 ; 2.634 ; 589.427.966 ; 1.544 ; 670.112.261 ; 2.341 ; 307.780.867 ; 7.080 ; 1.788.283.374 ; 340 ; 741.776.284 ; 339 ; 743.141.612 ; 679 ; 1.484.917.896 ; 7.759 ; 3.273.201.270 ;;;;
31;78.632.767;BANCO OURINVEST S.A.; 647 ; 46.924.490 ; 5.515 ; 297.428.787 ; 2.569 ; 396.825.727 ; 7.563 ; 437.413.740 ; 16.294 ; 1.178.592.744 ; 2.028 ; 1.056.987.005 ; 31.196 ; 774.313.301 ; 33.224 ; 1.831.300.306 ; 49.518 ; 3.009.893.050 ;;;;
32;13.059.145;BEXS BANCO DE CÂMBIO S/A; 92 ; 518.937.329 ; 148 ; 10.623.968 ; 830 ; 276.713.287 ; 2.052 ; 776.975.862 ; 3.122 ; 1.583.250.446 ; 368 ; 549.853.929 ; 238 ; 554.173.077 ; 606 ; 1.104.027.006 ; 3.728 ; 2.687.277.452 ;;;;
33;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 992 ; 35.213.620 ; 6.230 ; 220.579.554 ; 4.178 ; 260.078.072 ; 11.802 ; 347.171.850 ; 23.202 ; 863.043.096 ; 2.898 ; 971.107.849 ; 23.452 ; 692.561.034 ; 26.350 ; 1.663.668.883 ; 49.552 ; 2.526.711.979 ;;;;
34;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 293 ; 12.242.653 ; 2.448 ; 97.082.263 ; 1.296 ; 345.521.393 ; 261.877 ; 536.550.955 ; 265.914 ; 991.397.264 ; 878 ; 841.929.073 ; 1.301 ; 567.489.475 ; 2.179 ; 1.409.418.548 ; 268.093 ; 2.400.815.812 ;;;;
35;00.360.305;CAIXA ECONOMICA FEDERAL; 505 ; 291.093.693 ; 403 ; 14.394.202 ; 31.041 ; 280.994.770 ; 6.032 ; 363.346.257 ; 37.981 ; 949.828.922 ; 544 ; 534.178.254 ; 566 ; 716.650.133 ; 1.110 ; 1.250.828.387 ; 39.091 ; 2.200.657.309 ;;;;
36;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 732 ; 535.452.574 ; 1.321 ; 448.315.073 ; 2.053 ; 983.767.646 ; 64 ; 422.939.394 ; 224 ; 509.550.000 ; 288 ; 932.489.394 ; 2.341 ; 1.916.257.040 ;;;;
37;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 271 ; 217.779.687 ; 692 ; 143.049.545 ; 391 ; 213.060.164 ; 464 ; 236.367.083 ; 1.818 ; 810.256.479 ; 411 ; 505.112.531 ; 399 ; 495.827.681 ; 810 ; 1.000.940.212 ; 2.628 ; 1.811.196.691 ;;;;
38;30.723.886;BANCO MODAL S.A.; 60 ; 15.606.035 ; 182 ; 20.222.651 ; 528 ; 459.047.917 ; 479 ; 219.317.343 ; 1.249 ; 714.193.946 ; 68 ; 287.851.235 ; 69 ; 523.804.063 ; 137 ; 811.655.298 ; 1.386 ; 1.525.849.244 ;;;;
39;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 199 ; 270.786.633 ; 763 ; 73.076.382 ; 34 ; 27.949.143 ; 702 ; 295.709.718 ; 1.698 ; 667.521.877 ; 106 ; 367.708.650 ; 87 ; 407.698.902 ; 193 ; 775.407.553 ; 1.891 ; 1.442.929.429 ;;;;
40;71.027.866;BANCO BS2 S.A.; 293 ; 34.699.640 ; 1.555 ; 78.566.575 ; 2.992 ; 295.394.956 ; 4.835 ; 189.420.287 ; 9.675 ; 598.081.458 ; 618 ; 396.414.696 ; 9.430 ; 436.820.340 ; 10.048 ; 833.235.036 ; 19.723 ; 1.431.316.494 ;;;;
41;58.616.418;BANCO FIBRA S.A.; 204 ; 252.913.696 ; 1.458 ; 170.194.911 ; 261 ; 131.756.897 ; 814 ; 79.453.710 ; 2.737 ; 634.319.214 ; 95 ; 272.669.580 ; 112 ; 435.317.843 ; 207 ; 707.987.423 ; 2.944 ; 1.342.306.637 ;;;;
42;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 10 ; 74.014.895 ; 52 ; 26.990.448 ; 55 ; 329.992.156 ; 69 ; 137.867.023 ; 186 ; 568.864.522 ; 49 ; 295.237.241 ; 62 ; 399.561.468 ; 111 ; 694.798.709 ; 297 ; 1.263.663.231 ;;;;
43;00.997.185;BANCO B3 S.A.;;;;; 657 ; 374.371.499 ; 660 ; 550.356.399 ; 1.317 ; 924.727.899 ; 153 ; 223.503.640 ; 94 ; 47.479.597 ; 247 ; 270.983.238 ; 1.564 ; 1.195.711.136 ;;;;
44;10.690.848;BANCO DA CHINA BRASIL S.A.; 50 ; 407.288.072 ; 66 ; 15.471.405 ; 72 ; 63.266.186 ; 185 ; 102.268.087 ; 373 ; 588.293.750 ; 92 ; 105.045.662 ; 101 ; 457.946.714 ; 193 ; 562.992.376 ; 566 ; 1.151.286.126 ;;;;
