Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Novembro/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
23;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 1.804 ; 1.724.881.032 ; 12.857 ; 2.069.317.585 ; 21.659 ; 5.882.815.549 ; 35.782 ; 6.760.306.921 ; 72.102 ; 16.437.321.087 ; 1.263 ; 11.711.674.034 ; 1.559 ; 9.938.380.912 ; 2.822 ; 21.650.054.946 ; 74.924 ; 38.087.376.033 ;
24;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 799 ; 4.974.568.902 ; 1.936 ; 670.503.098 ; 2.572 ; 4.171.930.567 ; 3.430 ; 3.473.727.100 ; 8.737 ; 13.290.729.667 ; 2.562 ; 7.817.963.578 ; 2.719 ; 12.713.434.476 ; 5.281 ; 20.531.398.054 ; 14.018 ; 33.822.127.721 ;
25;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.;CONFIDENCE - PRUDENCIAL; 6.999 ; 1.055.491.856 ; 21.923 ; 841.227.942 ; 54.208 ; 4.364.814.614 ; 64.304 ; 6.752.687.280 ; 147.434 ; 13.014.221.692 ; 18.374 ; 6.850.352.992 ; 47.988 ; 4.653.882.849 ; 66.362 ; 11.504.235.841 ; 213.796 ; 24.518.457.533 ;
26;78.632.767;OURIBANK S.A. BANCO MÚLTIPLO;OURIBANK - PRUDENCIAL; 7.774 ; 1.014.113.460 ; 39.920 ; 2.218.012.087 ; 508.591 ; 3.936.782.037 ; 780.768 ; 6.315.961.189 ; 1.337.053 ; 13.484.868.773 ; 11.044 ; 7.211.541.317 ; 90.886 ; 3.570.920.503 ; 101.930 ; 10.782.461.820 ; 1.438.983 ; 24.267.330.593 ;
27;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 4.340 ; 1.339.757.043 ; 12.334 ; 1.552.103.169 ; 271.276 ; 6.508.178.059 ; 210.631 ; 2.951.471.255 ; 498.581 ; 12.351.509.526 ; 3.232 ; 3.334.423.574 ; 3.380 ; 6.773.209.575 ; 6.612 ; 10.107.633.149 ; 505.193 ; 22.459.142.675 ;
28;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 5.252 ; 881.709.459 ; 21.832 ; 4.676.500.937 ; 64.730 ; 1.661.884.356 ; 69.679 ; 1.946.721.841 ; 161.493 ; 9.166.816.593 ; 1.414 ; 8.382.764.746 ; 1.214 ; 4.299.824.204 ; 2.628 ; 12.682.588.950 ; 164.121 ; 21.849.405.543 ;
29;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 4.428 ; 1.035.846.982 ; 20.011 ; 2.304.192.690 ; 621.345 ; 4.383.796.203 ; 421.128 ; 3.138.468.381 ; 1.066.912 ; 10.862.304.256 ; 3.799 ; 4.665.704.490 ; 22.854 ; 4.435.040.736 ; 26.653 ; 9.100.745.226 ; 1.093.565 ; 19.963.049.482 ;
30;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 1.296 ; 1.205.397.793 ; 6.430 ; 888.816.333 ; 850 ; 848.626.605 ; 5.147 ; 1.298.465.767 ; 13.723 ; 4.241.306.498 ; 1.175 ; 7.550.984.765 ; 1.553 ; 7.105.639.644 ; 2.728 ; 14.656.624.409 ; 16.451 ; 18.897.930.907 ;
31;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 141 ; 1.920.217.323 ; 69 ; 84.559.364 ; 278 ; 298.261.234 ; 517 ; 304.995.685 ; 1.005 ; 2.608.033.606 ; 672 ; 7.136.644.791 ; 733 ; 8.927.608.600 ; 1.405 ; 16.064.253.391 ; 2.410 ; 18.672.286.997 ;
32;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 1.239 ; 1.606.242.510 ; 2.828 ; 3.153.208.870 ; 46.465 ; 1.093.810.824 ; 6.896 ; 1.269.442.438 ; 57.428 ; 7.122.704.642 ; 617 ; 6.466.787.176 ; 610 ; 4.683.690.880 ; 1.227 ; 11.150.478.056 ; 58.655 ; 18.273.182.698 ;
33;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 72.975 ; 21.288.869 ; 602 ; 867.658 ; 12.682.530 ; 4.870.999.837 ; 15.647.325 ; 5.350.473.429 ; 28.403.432 ; 10.243.629.793 ; 10.864 ; 2.838.105.387 ; 10.619 ; 2.380.535.031 ; 21.483 ; 5.218.640.418 ; 28.424.915 ; 15.462.270.211 ;
34;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 604 ; 395.665.392 ; 699 ; 305.745.498 ; 532 ; 1.595.535.028 ; 2.661 ; 1.294.693.778 ; 4.496 ; 3.591.639.696 ; 732 ; 4.926.336.010 ; 800 ; 5.272.692.436 ; 1.532 ; 10.199.028.446 ; 6.028 ; 13.790.668.142 ;
35;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 1.132 ; 743.362.739 ; 6.559 ; 2.223.548.956 ; 429 ; 209.925.443 ; 1.659 ; 213.772.114 ; 9.779 ; 3.390.609.252 ; 973 ; 4.849.110.467 ; 830 ; 3.412.811.439 ; 1.803 ; 8.261.921.906 ; 11.582 ; 11.652.531.158 ;
36;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 265 ; 17.871.981 ; 3.559 ; 269.722.070 ; 2.106.067 ; 3.516.311.573 ; 42.645 ; 820.005.189 ; 2.152.536 ; 4.623.910.813 ; 16.490 ; 2.208.321.384 ; 56.191 ; 4.652.593.068 ; 72.681 ; 6.860.914.452 ; 2.225.217 ; 11.484.825.265 ;
37;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;SCOTIABANK BRASIL - PRUDENCIAL; 24 ; 145.669.556 ; 9 ; 50.503.124 ; 245 ; 1.398.049.414 ; 1.105 ; 2.121.875.974 ; 1.383 ; 3.716.098.068 ; 148 ; 3.786.926.911 ; 94 ; 2.533.214.538 ; 242 ; 6.320.141.449 ; 1.625 ; 10.036.239.517 ;
38;00.038.166;BANCO CENTRAL DO BRASIL; ; -   ; -   ; -   ; -   ; 46 ; 138.851.629 ; -   ; -   ; 46 ; 138.851.629 ; 10 ; 4.122.929.007 ; 11 ; 5.500.000.000 ; 21 ; 9.622.929.007 ; 67 ; 9.761.780.636 ;
39;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE CÂMBIO - PRUDENCIAL; 1.502 ; 2.287.092.281 ; 5.942 ; 337.092.533 ; 82.937 ; 1.412.783.273 ; 227.780 ; 2.053.681.345 ; 318.161 ; 6.090.649.432 ; 1.547 ; 1.137.224.613 ; 2.018 ; 2.396.873.066 ; 3.565 ; 3.534.097.679 ; 321.726 ; 9.624.747.111 ;
