Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - acumulado janeiro-setembro/2025;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
38;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;SCOTIABANK BRASIL - PRUDENCIAL; 5 ; 132.935.000 ; 3 ; 3.958.705 ; 137 ; 1.558.584.731 ; 790 ; 2.863.542.830 ; 935 ; 4.559.021.266 ; 104 ; 3.292.519.099 ; 77 ; 2.341.498.613 ; 181 ; 5.634.017.712 ; 1.116 ; 10.193.038.978 ;
39;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE CÂMBIO - PRUDENCIAL; 1.626 ; 2.413.861.942 ; 7.062 ; 385.773.882 ; 376.241 ; 618.864.480 ; 356.911 ; 2.087.943.190 ; 741.840 ; 5.506.443.494 ; 10.549 ; 1.932.042.322 ; 10.772 ; 2.489.768.270 ; 21.321 ; 4.421.810.592 ; 763.161 ; 9.928.254.086 ;
40;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 929 ; 35.470.205 ; 6.405 ; 236.134.332 ; 1.325.154 ; 2.818.403.622 ; 46.003 ; 998.923.222 ; 1.378.491 ; 4.088.931.381 ; 11.433 ; 1.780.492.677 ; 45.973 ; 3.422.372.991 ; 57.406 ; 5.202.865.668 ; 1.435.897 ; 9.291.797.049 ;
41;07.656.500;BANCO KDB DO BRASIL S.A.;BCO KDB BRASIL S.A. - PRUDENCIAL; 5 ; 57.184.000 ; 20 ; 12.365.369 ; 1.561 ; 1.579.847.155 ; 2.625 ; 1.078.961.905 ; 4.211 ; 2.728.358.429 ; 542 ; 2.906.783.788 ; 764 ; 3.380.340.000 ; 1.306 ; 6.287.123.788 ; 5.517 ; 9.015.482.217 ;
42;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;JP MORGAN CHASE - PRUDENCIAL; -   ; -   ; -   ; -   ; 183 ; 3.477.657.458 ; 243 ; 570.743.564 ; 426 ; 4.048.401.022 ; 107 ; 682.087.633 ; 72 ; 3.590.723.553 ; 179 ; 4.272.811.186 ; 605 ; 8.321.212.208 ;
43;45.246.410;BANCO GENIAL S.A.;GENIAL - PRUDENCIAL; 78 ; 7.039.727 ; 542 ; 170.195.758 ; 3.486 ; 526.310.141 ; 5.772 ; 2.499.917.884 ; 9.878 ; 3.203.463.510 ; 681 ; 2.724.766.109 ; 146 ; 598.591.301 ; 827 ; 3.323.357.410 ; 10.705 ; 6.526.820.920 ;
44;33.987.793;BANCO DE INVESTIMENTOS UBS (BRASIL) S.A.;UBS (BRASIL) - PRUDENCIAL; -   ; -   ; -   ; -   ; 477 ; 1.493.024.316 ; 1.330 ; 2.175.849.257 ; 1.807 ; 3.668.873.573 ; 121 ; 1.443.249.985 ; 104 ; 745.953.509 ; 225 ; 2.189.203.494 ; 2.032 ; 5.858.077.067 ;
45;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;BANRISUL - PRUDENCIAL; 5.179 ; 1.558.938.362 ; 8.410 ; 519.430.057 ; 3.260 ; 396.625.339 ; 4.131 ; 185.387.999 ; 20.980 ; 2.660.381.757 ; 385 ; 480.195.329 ; 884 ; 1.727.791.867 ; 1.269 ; 2.207.987.196 ; 22.249 ; 4.868.368.953 ;
46;00.997.185;BANCO B3 S.A.;BANCO B3 - PRUDENCIAL; -   ; -   ; -   ; -   ; 1.264 ; 1.366.564.124 ; 971 ; 1.457.390.911 ; 2.235 ; 2.823.955.035 ; 393 ; 1.052.664.706 ; 509 ; 961.759.469 ; 902 ; 2.014.424.175 ; 3.137 ; 4.838.379.210 ;
47;00.360.305;CAIXA ECONOMICA FEDERAL;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL; 876 ; 430.107.210 ; 739 ; 38.210.035 ; 63.572 ; 1.287.471.835 ; 18.340 ; 409.496.504 ; 83.527 ; 2.165.285.584 ; 1.192 ; 513.173.086 ; 1.283 ; 1.721.642.278 ; 2.475 ; 2.234.815.364 ; 86.002 ; 4.400.100.948 ;
