Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Abr/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 221 ; 850.524.782 ; 61 ; 74.539.914 ; 257 ; 721.809.771 ; 634 ; 980.706.175 ; 1.173 ; 2.627.580.642 ; 57 ; 716.210.142 ; 76 ; 1.240.210.492 ; 133 ; 1.956.420.634 ; 1.306 ; 4.584.001.276 ;;;;
26;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 443 ; 303.152.333 ; 1.601 ; 485.764.552 ; 1.312 ; 992.347.412 ; 1.901 ; 479.990.152 ; 5.257 ; 2.261.254.449 ; 239 ; 705.164.332 ; 311 ; 1.035.496.838 ; 550 ; 1.740.661.170 ; 5.807 ; 4.001.915.619 ;;;;
27;62.232.889;BANCO DAYCOVAL S.A.; 851 ; 228.892.442 ; 1.646 ; 138.782.635 ; 1.881 ; 173.352.969 ; 9.435 ; 685.704.472 ; 13.813 ; 1.226.732.518 ; 1.227 ; 1.541.311.209 ; 5.047 ; 1.131.674.589 ; 6.274 ; 2.672.985.798 ; 20.087 ; 3.899.718.317 ;;;;
28;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 38 ; 222.514.096 ; 9 ; 2.942.928 ; 56 ; 170.681.752 ; 202 ; 48.486.489 ; 305 ; 444.625.265 ; 330 ; 1.172.296.688 ; 353 ; 1.513.731.262 ; 683 ; 2.686.027.950 ; 988 ; 3.130.653.215 ;;;;
29;49.336.860;ING BANK N.V.; 87 ; 702.129.911 ; 60 ; 163.620.164 ; 36 ; 474.143.385 ; 263 ; 216.779.468 ; 446 ; 1.556.672.928 ; 32 ; 290.522.925 ; 62 ; 1.038.694.235 ; 94 ; 1.329.217.160 ; 540 ; 2.885.890.088 ;;;;
30;68.900.810;BANCO RENDIMENTO S.A.; 28 ; 2.095.413 ; 230 ; 17.210.066 ; 18.745 ; 219.350.993 ; 7.145 ; 525.699.978 ; 26.148 ; 764.356.450 ; 1.369 ; 1.157.566.528 ; 26.763 ; 837.850.843 ; 28.132 ; 1.995.417.370 ; 54.280 ; 2.759.773.820 ;;;;
31;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 123 ; 678.145.326 ;;; 183 ; 227.744.708 ; 239 ; 685.520.126 ; 545 ; 1.591.410.160 ; 12 ; 492.467.312 ; 11 ; 573.928.603 ; 23 ; 1.066.395.915 ; 568 ; 2.657.806.075 ;;;;
32;28.195.667;BANCO ABC BRASIL S.A.; 179 ; 88.732.307 ; 417 ; 59.971.360 ; 111 ; 516.881.860 ; 1.204 ; 278.266.508 ; 1.911 ; 943.852.036 ; 95 ; 577.113.625 ; 130 ; 1.089.599.085 ; 225 ; 1.666.712.711 ; 2.136 ; 2.610.564.746 ;;;;
33;78.632.767;BANCO OURINVEST S.A.; 20 ; 5.725.738 ; 193 ; 18.976.333 ; 628 ; 14.083.201 ; 2.203 ; 48.748.827 ; 3.044 ; 87.534.099 ; 1.223 ; 1.203.539.267 ; 18.897 ; 1.147.627.997 ; 20.120 ; 2.351.167.264 ; 23.164 ; 2.438.701.363 ;;;;
34;13.059.145;BEXS BANCO DE CÂMBIO S/A; 90 ; 380.412.557 ; 528 ; 21.015.528 ; 702 ; 116.420.133 ; 2.052 ; 167.075.227 ; 3.372 ; 684.923.445 ; 995 ; 494.223.221 ; 1.057 ; 803.690.560 ; 2.052 ; 1.297.913.781 ; 5.424 ; 1.982.837.226 ;;;;
35;71.027.866;BANCO BONSUCESSO S.A.; 7 ; 229.489 ; 4 ; 72.517 ; 120 ; 3.703.639 ; 321 ; 20.193.821 ; 452 ; 24.199.466 ; 867 ; 949.968.808 ; 721 ; 933.116.152 ; 1.588 ; 1.883.084.960 ; 2.040 ; 1.907.284.426 ;;;;
36;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 16 ; 5.364.653 ;;; 580 ; 138.187.880 ; 323 ; 395.187.078 ; 919 ; 538.739.611 ; 139 ; 775.203.076 ; 185 ; 576.743.326 ; 324 ; 1.351.946.403 ; 1.243 ; 1.890.686.014 ;;;;
37;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 104 ; 351.492.715 ; 39 ; 19.601.382 ; 83 ; 299.655.826 ; 138 ; 76.046.157 ; 364 ; 746.796.080 ; 92 ; 151.641.927 ; 132 ; 729.933.443 ; 224 ; 881.575.371 ; 588 ; 1.628.371.451 ;;;;
38;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 28 ; 619.240.000 ; 1 ; 76.432.000 ; 29 ; 695.672.000 ; 1 ; 76.432.000 ; 28 ; 619.240.000 ; 29 ; 695.672.000 ; 58 ; 1.391.344.000 ;;;;
39;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 846 ; 3.180.204 ; 10.668 ; 76.135.633 ; 11.514 ; 79.315.837 ; 2.447 ; 653.528.675 ; 622 ; 580.552.482 ; 3.069 ; 1.234.081.157 ; 14.583 ; 1.313.396.994 ;;;;
40;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 158 ; 2.061.364 ; 1.701 ; 40.189.302 ; 2.894 ; 30.255.702 ; 7.199 ; 306.898.073 ; 11.952 ; 379.404.441 ; 13.000 ; 534.893.912 ; 413 ; 220.205.285 ; 13.413 ; 755.099.197 ; 25.365 ; 1.134.503.638 ;;;;
41;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 2.855 ; 287.392.806 ; 5.004 ; 255.609.137 ; 1.359 ; 62.131.961 ; 5.613 ; 132.571.194 ; 14.831 ; 737.705.098 ; 153 ; 218.730.608 ; 121 ; 173.267.529 ; 274 ; 391.998.137 ; 15.105 ; 1.129.703.236 ;;;;
42;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 4 ; 11.142.120 ; 2 ; 488.333 ; 79 ; 82.024.185 ; 233 ; 15.393.118 ; 318 ; 109.047.756 ; 131 ; 451.158.489 ; 257 ; 543.885.942 ; 388 ; 995.044.431 ; 706 ; 1.104.092.187 ;;;;
43;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 563 ; 189.144.046 ; 616 ; 350.107.718 ; 1.179 ; 539.251.764 ; 67 ; 298.812.195 ; 135 ; 137.800.000 ; 202 ; 436.612.195 ; 1.381 ; 975.863.959 ;;;;
44;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 500 ; 243.054.158 ; 486 ; 65.754.985 ; 283 ; 128.441.680 ; 782 ; 86.699.857 ; 2.051 ; 523.950.680 ; 90 ; 125.580.973 ; 103 ; 319.628.714 ; 193 ; 445.209.687 ; 2.244 ; 969.160.367 ;;;;
45;03.609.817;BANCO CARGILL S.A.; 63 ; 338.383.062 ; 13 ; 22.108.861 ; 8 ; 75.555.950 ; 77 ; 110.690.543 ; 161 ; 546.738.416 ; 13 ; 56.643.000 ; 25 ; 337.750.000 ; 38 ; 394.393.000 ; 199 ; 941.131.416 ;;;;
46;33.923.798;BANCO MÁXIMA S.A.; 133 ; 4.358.755 ; 1.287 ; 55.569.797 ; 248 ; 38.746.244 ; 1.034 ; 50.713.713 ; 2.702 ; 149.388.509 ; 1.184 ; 421.871.160 ; 5.105 ; 361.026.452 ; 6.289 ; 782.897.612 ; 8.991 ; 932.286.121 ;;;;
47;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS; 13 ; 538.928 ; 5.049 ; 355.379.216 ; 1.099 ; 7.276.690 ; 12.767 ; 51.236.046 ; 18.928 ; 414.430.881 ; 3.603 ; 401.691.224 ; 125 ; 3.914.453 ; 3.728 ; 405.605.677 ; 22.656 ; 820.036.557 ;;;;
48;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 103 ; 618.314 ; 3.511 ; 37.812.015 ; 14.762 ; 241.776.709 ; 18.376 ; 280.207.038 ; 6.997 ; 359.853.216 ; 548 ; 153.529.654 ; 7.545 ; 513.382.870 ; 25.921 ; 793.589.908 ;;;;
49;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 46 ; 103.080.657 ; 78 ; 98.617.316 ; 30 ; 216.381.027 ; 297 ; 120.929.799 ; 451 ; 539.008.798 ; 51 ; 92.923.791 ; 43 ; 128.310.875 ; 94 ; 221.234.666 ; 545 ; 760.243.464 ;;;;
50;03.532.415;BANCO ABN AMRO S.A.; 81 ; 293.715.828 ; 1 ; 3.442.920 ; 17 ; 4.501.203 ; 65 ; 5.244.388 ; 164 ; 306.904.338 ; 11 ; 37.317.223 ; 136 ; 325.650.988 ; 147 ; 362.968.210 ; 311 ; 669.872.549 ;;;;
51;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 177 ; 3.207.674 ; 3.473 ; 93.546.727 ; 2.480 ; 33.711.011 ; 10.371 ; 218.197.900 ; 16.501 ; 348.663.312 ; 3.538 ; 275.173.809 ; 4 ; 713.148 ; 3.542 ; 275.886.957 ; 20.043 ; 624.550.268 ;;;;
52;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 40 ; 1.093.549 ; 362 ; 6.533.627 ; 1.418 ; 11.454.453 ; 5.128 ; 84.432.782 ; 6.948 ; 103.514.411 ; 6.591 ; 280.953.457 ; 1.323 ; 202.267.833 ; 7.914 ; 483.221.289 ; 14.862 ; 586.735.701 ;;;;
53;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 113 ; 2.325.030 ; 583 ; 7.035.373 ; 4.661 ; 39.638.052 ; 24.493 ; 284.561.326 ; 29.850 ; 333.559.782 ; 3.339 ; 250.739.561 ; 48 ; 954.552 ; 3.387 ; 251.694.113 ; 33.237 ; 585.253.894 ;;;;
54;15.114.366;BANCO BBM S/A; 75 ; 27.174.640 ; 12 ; 46.076.756 ; 28 ; 26.710.813 ; 149 ; 16.145.370 ; 264 ; 116.107.579 ; 33 ; 231.280.413 ; 42 ; 223.781.805 ; 75 ; 455.062.218 ; 339 ; 571.169.797 ;;;;
55;72.760.713;RENOVA S.A. CORRETORA DE CÂMBIO; 9 ; 190.933 ; 273 ; 6.799.722 ; 913 ; 7.204.155 ; 4.310 ; 47.978.572 ; 5.505 ; 62.173.382 ; 3.540 ; 238.128.930 ; 371 ; 190.691.718 ; 3.911 ; 428.820.648 ; 9.416 ; 490.994.030 ;;;;
56;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 11 ; 68.801 ; 129 ; 1.195.402 ; 1.845 ; 51.472.057 ; 4.687 ; 208.188.641 ; 6.672 ; 260.924.901 ; 2.705 ; 179.050.502 ; 1.801 ; 21.445.169 ; 4.506 ; 200.495.671 ; 11.178 ; 461.420.572 ;;;;
57;11.495.073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;;; 586 ; 32.692.838 ; 9.545 ; 9.615.314 ; 16.295 ; 69.661.184 ; 26.426 ; 111.969.336 ; 5.670 ; 219.218.817 ; 337 ; 126.306.297 ; 6.007 ; 345.525.113 ; 32.433 ; 457.494.449 ;;;;
