Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Dez/2017;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
40;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 584 ; 36.034.280 ; 4.059 ; 166.279.334 ; 1.676 ; 366.691.071 ; 23.650 ; 927.503.292 ; 29.969 ; 1.496.507.977 ; 4.186 ; 2.432.524.566 ; 4.280 ; 1.734.319.801 ; 8.466 ; 4.166.844.367 ; 38.435 ; 5.663.352.344 ;;;;
41;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 542 ; 1.015.912.226 ; 366 ; 194.133.876 ; 219 ; 1.408.552.432 ; 1.175 ; 889.376.011 ; 2.302 ; 3.507.974.545 ; 102 ; 473.806.749 ; 152 ; 1.670.778.688 ; 254 ; 2.144.585.436 ; 2.556 ; 5.652.559.981 ;;;;
42;30.723.886;BANCO MODAL S.A.; 100 ; 81.252.566 ; 729 ; 63.816.824 ; 1.011 ; 1.464.378.450 ; 1.235 ; 1.073.382.173 ; 3.075 ; 2.682.830.013 ; 132 ; 1.053.946.987 ; 240 ; 1.460.995.368 ; 372 ; 2.514.942.355 ; 3.447 ; 5.197.772.367 ;;;;
43;10.690.848;BANCO DA CHINA BRASIL S.A.; 153 ; 100.363.900 ; 103 ; 88.429.717 ; 250 ; 1.217.505.683 ; 489 ; 182.329.304 ; 995 ; 1.588.628.605 ; 243 ; 745.755.162 ; 236 ; 1.706.859.670 ; 479 ; 2.452.614.832 ; 1.474 ; 4.041.243.437 ;;;;
44;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 10.034 ; 756.548.110 ; 12.989 ; 513.231.129 ; 4.364 ; 354.468.669 ; 14.534 ; 330.195.884 ; 41.921 ; 1.954.443.793 ; 411 ; 375.220.816 ; 452 ; 639.953.251 ; 863 ; 1.015.174.067 ; 42.784 ; 2.969.617.859 ;;;;
45;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 1.478 ; 30.722.239 ; 7.769 ; 184.359.562 ; 15.223 ; 171.272.015 ; 28.715 ; 628.702.067 ; 53.185 ; 1.015.055.883 ; 34.902 ; 1.191.176.777 ; 2.393 ; 580.074.817 ; 37.295 ; 1.771.251.594 ; 90.480 ; 2.786.307.477 ;;;;
46;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 76 ; 200.753.261 ; 140 ; 17.680.589 ; 133 ; 844.961.402 ; 261 ; 427.499.452 ; 610 ; 1.490.894.704 ; 121 ; 348.331.180 ; 276 ; 935.877.547 ; 397 ; 1.284.208.728 ; 1.007 ; 2.775.103.432 ;;;;
47;58.616.418;BANCO FIBRA S.A.; 942 ; 494.593.789 ; 5.143 ; 562.901.499 ; 685 ; 95.143.178 ; 3.826 ; 377.809.647 ; 10.596 ; 1.530.448.111 ; 225 ; 655.678.212 ; 90 ; 245.176.954 ; 315 ; 900.855.166 ; 10.911 ; 2.431.303.277 ;;;;
48;15.114.366;BANCO BBM S/A; 346 ; 323.243.247 ; 130 ; 17.822.145 ; 166 ; 474.130.468 ; 785 ; 331.182.824 ; 1.427 ; 1.146.378.683 ; 83 ; 402.068.042 ; 115 ; 882.606.549 ; 198 ; 1.284.674.591 ; 1.625 ; 2.431.053.274 ;;;;
49;03.609.817;BANCO CARGILL S.A.; 165 ; 444.349.911 ; 22 ; 21.599.151 ; 34 ; 22.580.315 ; 325 ; 117.082.879 ; 546 ; 605.612.256 ; 29 ; 719.750.000 ; 38 ; 1.056.500.000 ; 67 ; 1.776.250.000 ; 613 ; 2.381.862.256 ;;;;
