Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mar/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
32;78.632.767;BANCO OURINVEST S.A.; 2.331 ; 244.471.539 ; 5.985 ; 471.328.537 ; 16.934 ; 282.195.082 ; 8.877 ; 284.416.318 ; 34.127 ; 1.282.411.476 ; 2.425 ; 437.399.481 ; 2.657 ; 205.775.100 ; 5.082 ; 643.174.581 ; 39.209 ; 1.925.586.057 ;
33;07.679.404;BANCO TOPÁZIO S.A.; 179 ; 97.468.632 ; 129 ; 16.831.292 ; 816 ; 110.607.751 ; 1.286 ; 606.786.238 ; 2.410 ; 831.693.913 ; 1.089 ; 692.987.970 ; 2.440 ; 277.563.320 ; 3.529 ; 970.551.290 ; 5.939 ; 1.802.245.203 ;
34;58.616.418;BANCO FIBRA S.A.; 296 ; 183.291.325 ; 2.463 ; 320.486.420 ; 115 ; 131.063.961 ; 497 ; 277.717.733 ; 3.371 ; 912.559.439 ; 269 ; 562.348.992 ; 227 ; 247.739.891 ; 496 ; 810.088.883 ; 3.867 ; 1.722.648.322 ;
35;33.264.668;BANCO XP S.A.; 258 ; 266.329.392 ; 1.692 ; 294.024.085 ; 952 ; 416.345.851 ; 2.414 ; 270.636.194 ; 5.316 ; 1.247.335.522 ; 50 ; 172.344.796 ; 19 ; 256.000.023 ; 69 ; 428.344.819 ; 5.385 ; 1.675.680.341 ;
36;33.042.953;CITIBANK N.A.;;;;; 3 ; 764 ; 27 ; 470.518 ; 30 ; 471.282 ; 2 ; 556.000.000 ; 2 ; 771.000.000 ; 4 ; 1.327.000.000 ; 34 ; 1.327.471.282 ;
37;71.027.866;BANCO BS2 S.A.; 964 ; 147.299.275 ; 3.157 ; 130.100.403 ; 17.939 ; 368.181.567 ; 36.489 ; 216.601.772 ; 58.549 ; 862.183.018 ; 121 ; 139.947.683 ; 243 ; 293.266.744 ; 364 ; 433.214.427 ; 58.913 ; 1.295.397.445 ;
38;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 183 ; 202.365.950 ; 523 ; 96.832.892 ; 172 ; 86.433.581 ; 434 ; 150.906.338 ; 1.312 ; 536.538.761 ; 224 ; 376.321.910 ; 221 ; 361.555.389 ; 445 ; 737.877.299 ; 1.757 ; 1.274.416.059 ;
39;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 314 ; 59.423.333 ; 1.040 ; 538.333.438 ; 1.354 ; 597.756.771 ; 184 ; 541.908.824 ; 30 ; 112.450.000 ; 214 ; 654.358.824 ; 1.568 ; 1.252.115.595 ;
40;00.997.185;BANCO B3 S.A.;;;;; 332 ; 460.487.508 ; 321 ; 525.911.886 ; 653 ; 986.399.394 ; 136 ; 144.094.644 ; 102 ; 78.692.424 ; 238 ; 222.787.068 ; 891 ; 1.209.186.462 ;
41;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 228 ; 228.946.725 ; 1.246 ; 197.032.118 ; 68 ; 200.016.445 ; 707 ; 139.814.051 ; 2.249 ; 765.809.338 ; 110 ; 212.654.672 ; 69 ; 218.616.928 ; 179 ; 431.271.600 ; 2.428 ; 1.197.080.939 ;
42;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 84 ; 390.005.861 ; 30 ; 187.763.376 ; 114 ; 577.769.237 ; 15 ; 181.584.902 ; 60 ; 381.429.140 ; 75 ; 563.014.042 ; 189 ; 1.140.783.278 ;
43;13.059.145;BEXS BANCO DE CÂMBIO S/A; 39 ; 148.870.917 ; 22 ; 3.758.163 ; 17.239 ; 91.629.927 ; 155.251 ; 364.787.514 ; 172.551 ; 609.046.521 ; 312 ; 314.398.677 ; 105 ; 188.333.852 ; 417 ; 502.732.528 ; 172.968 ; 1.111.779.050 ;
44;33.923.798;BANCO MÁXIMA S.A.; 335 ; 27.599.685 ; 940 ; 56.574.568 ; 34.091 ; 324.857.046 ; 125.265 ; 341.778.131 ; 160.631 ; 750.809.430 ; 225 ; 182.317.338 ; 171 ; 128.254.089 ; 396 ; 310.571.427 ; 161.027 ; 1.061.380.857 ;
45;09.274.232;STATE STREET BRASIL S.A. – BANCO COMERCIAL;;;;; 48 ; 380.616.303 ; 43 ; 107.493.435 ; 91 ; 488.109.738 ; 24 ; 113.361.890 ; 53 ; 454.848.661 ; 77 ; 568.210.551 ; 168 ; 1.056.320.289 ;
46;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 77 ; 144.645.269 ;;; 97 ; 37.982.145 ; 10 ; 337.307 ; 184 ; 182.964.722 ; 15 ; 398.955.866 ; 22 ; 433.901.872 ; 37 ; 832.857.738 ; 221 ; 1.015.822.459 ;
47;45.246.410;BANCO GENIAL S.A.; 36 ; 3.476.028 ; 88 ; 9.537.062 ; 596 ; 97.657.008 ; 1.234 ; 445.344.736 ; 1.954 ; 556.014.834 ; 162 ; 397.432.751 ; 19 ; 43.690.833 ; 181 ; 441.123.584 ; 2.135 ; 997.138.419 ;
