Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Ago/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
25;68.900.810;BANCO RENDIMENTO S.A.; 155 ; 25.985.747 ; 956 ; 177.633.143 ; 337.010 ; 1.223.357.500 ; 48.975 ; 1.349.787.735 ; 387.096 ; 2.776.764.124 ; 4.708 ; 2.979.489.684 ; 74.997 ; 2.703.766.287 ; 79.705 ; 5.683.255.971 ; 466.801 ; 8.460.020.095 
26;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.457 ; 694.037.936 ; 5.542 ; 1.277.071.349 ; 2.904 ; 1.321.723.805 ; 4.795 ; 926.336.782 ; 14.698 ; 4.219.169.872 ; 948 ; 2.145.306.760 ; 933 ; 1.964.157.758 ; 1.881 ; 4.109.464.518 ; 16.579 ; 8.328.634.390 
27;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 1.950 ; 88.517.449 ; 11.961 ; 503.463.214 ; 7.752 ; 885.929.411 ; 24.531 ; 1.088.397.828 ; 46.194 ; 2.566.307.901 ; 6.957 ; 2.950.916.237 ; 64.535 ; 2.350.711.834 ; 71.492 ; 5.301.628.071 ; 117.686 ; 7.867.935.971 
28;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 253 ; 559.017.686 ; 253 ; 64.950.299 ; 121 ; 1.518.483.963 ; 654 ; 690.564.627 ; 1.281 ; 2.833.016.575 ; 77 ; 1.043.344.500 ; 127 ; 2.214.108.217 ; 204 ; 3.257.452.717 ; 1.485 ; 6.090.469.292 
29;78.632.767;BANCO OURINVEST S.A.; 976 ; 107.696.450 ; 6.017 ; 341.582.777 ; 4.177 ; 588.236.098 ; 10.919 ; 969.625.907 ; 22.089 ; 2.007.141.232 ; 4.214 ; 2.315.170.274 ; 76.989 ; 1.733.107.651 ; 81.203 ; 4.048.277.924 ; 103.292 ; 6.055.419.156 
30;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 186 ; 1.187.113.805 ; 190 ; 1.712.687.410 ; 376 ; 2.899.801.216 ; 143 ; 1.690.467.881 ; 115 ; 1.164.352.861 ; 258 ; 2.854.820.742 ; 634 ; 5.754.621.957 
31;62.232.889;BANCO DAYCOVAL S.A.; 3.887 ; 556.853.854 ; 4.933 ; 318.864.351 ; 5.267 ; 118.950.494 ; 19.246 ; 653.861.411 ; 33.333 ; 1.648.530.109 ; 4.045 ; 2.151.650.517 ; 18.539 ; 1.923.473.648 ; 22.584 ; 4.075.124.165 ; 55.917 ; 5.723.654.274 
32;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 459 ; 822.194.341 ;;; 726 ; 635.009.725 ; 306 ; 1.619.098.611 ; 1.491 ; 3.076.302.676 ; 74 ; 1.445.088.661 ; 40 ; 777.650.461 ; 114 ; 2.222.739.121 ; 1.605 ; 5.299.041.798 
33;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 445 ; 29.027.809 ; 4.259 ; 173.119.991 ; 1.413 ; 331.683.096 ; 268.874 ; 791.756.961 ; 274.991 ; 1.325.587.856 ; 1.718 ; 1.866.103.139 ; 2.736 ; 1.262.770.424 ; 4.454 ; 3.128.873.563 ; 279.445 ; 4.454.461.419 
34;00.360.305;CAIXA ECONOMICA FEDERAL; 1.701 ; 597.658.411 ; 1.235 ; 39.522.760 ; 59.761 ; 569.460.598 ; 14.197 ; 820.580.973 ; 76.894 ; 2.027.222.742 ; 815 ; 1.016.633.400 ; 898 ; 1.281.400.658 ; 1.713 ; 2.298.034.057 ; 78.607 ; 4.325.256.799 
35;13.059.145;BEXS BANCO DE CÂMBIO S/A; 190 ; 921.214.505 ; 383 ; 14.693.639 ; 1.174 ; 211.152.427 ; 3.260 ; 926.822.723 ; 5.007 ; 2.073.883.295 ; 1.377 ; 957.050.263 ; 707 ; 1.147.559.461 ; 2.084 ; 2.104.609.724 ; 7.091 ; 4.178.493.019 
