Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Jun/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
41;10.690.848;BANCO DA CHINA BRASIL S.A.; 69 ; 421.671.867 ; 66 ; 15.189.091 ; 65 ; 135.690.788 ; 277 ; 14.273.780 ; 477 ; 586.825.526 ; 130 ; 143.958.592 ; 174 ; 647.237.885 ; 304 ; 791.196.477 ; 781 ; 1.378.022.002 ;
42;03.609.817;BANCO CARGILL S.A.; 96 ; 347.083.689 ; 13 ; 18.628.091 ; 45 ; 184.010.874 ; 105 ; 169.336.302 ; 259 ; 719.058.957 ; 12 ; 125.889.716 ; 26 ; 469.500.000 ; 38 ; 595.389.716 ; 297 ; 1.314.448.672 ;
43;07.656.500;BANCO KDB DO BRASIL S.A.;;; 1 ; 334.848 ; 564 ; 264.711.194 ; 1.030 ; 215.593.898 ; 1.595 ; 480.639.940 ; 116 ; 359.887.461 ; 155 ; 457.486.679 ; 271 ; 817.374.140 ; 1.866 ; 1.298.014.079 ;
44;58.616.418;BANCO FIBRA S.A.; 739 ; 99.002.239 ; 1.842 ; 148.420.986 ; 159 ; 120.760.337 ; 999 ; 288.727.596 ; 3.739 ; 656.911.158 ; 93 ; 403.874.526 ; 63 ; 149.864.356 ; 156 ; 553.738.883 ; 3.895 ; 1.210.650.041 ;
45;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 449 ; 9.988.711 ; 2.921 ; 64.170.124 ; 6.363 ; 69.329.305 ; 11.883 ; 265.121.456 ; 21.616 ; 408.609.596 ; 16.168 ; 514.360.462 ; 1.768 ; 264.038.788 ; 17.936 ; 778.399.250 ; 39.552 ; 1.187.008.847 ;
46;33.923.798;BANCO MÁXIMA S.A.; 161 ; 2.181.795 ; 795 ; 21.490.167 ; 232 ; 11.866.977 ; 587 ; 11.186.513 ; 1.775 ; 46.725.452 ; 334 ; 477.193.035 ; 1.302 ; 458.369.153 ; 1.636 ; 935.562.188 ; 3.411 ; 982.287.640 ;
47;61.186.680;BANCO BMG S.A.; 61 ; 185.552.459 ; 8 ; 2.264.739 ; 8 ; 5.504.938 ; 85 ; 218.449.171 ; 162 ; 411.771.307 ; 31 ; 268.523.171 ; 48 ; 263.038.324 ; 79 ; 531.561.495 ; 241 ; 943.332.802 ;
48;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 503 ; 215.919.532 ; 500 ; 352.214.536 ; 1.003 ; 568.134.068 ; 180 ; 238.826.232 ; 140 ; 102.559.681 ; 320 ; 341.385.913 ; 1.323 ; 909.519.981 ;
49;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 1 ; 73.386 ; 254 ; 153.533.631 ; 188 ; 250.727.349 ; 1.705 ; 91.651.121 ; 2.148 ; 495.985.487 ; 246 ; 191.017.642 ; 41 ; 196.641.519 ; 287 ; 387.659.161 ; 2.435 ; 883.644.648 ;
50;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 54 ; 717.928 ; 739 ; 10.203.271 ; 2.053 ; 20.943.632 ; 6.885 ; 92.011.484 ; 9.731 ; 123.876.315 ; 11.144 ; 311.321.201 ; 2.009 ; 230.412.168 ; 13.153 ; 541.733.369 ; 22.884 ; 665.609.684 ;
51;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 780 ; 19.713.394 ; 7.159 ; 147.101.482 ; 6.461 ; 64.017.378 ; 17.589 ; 139.608.262 ; 31.989 ; 370.440.517 ; 3.582 ; 245.399.308 ; 911 ; 42.424.260 ; 4.493 ; 287.823.569 ; 36.482 ; 658.264.085 ;
52;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 204 ; 3.641.865 ; 838 ; 8.999.855 ; 7.462 ; 53.696.272 ; 28.030 ; 312.286.674 ; 36.534 ; 378.624.666 ; 4.225 ; 265.429.973 ; 42 ; 1.370.273 ; 4.267 ; 266.800.245 ; 40.801 ; 645.424.911 ;
53;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 349 ; 2.005.675 ; 789 ; 8.066.768 ; 1.138 ; 10.072.443 ; 1.496 ; 308.216.871 ; 799 ; 302.159.784 ; 2.295 ; 610.376.655 ; 3.433 ; 620.449.097 ;
54;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 20 ; 123.982 ; 4.251 ; 56.622.269 ; 13.945 ; 278.520.397 ; 18.216 ; 335.266.648 ; 11.468 ; 226.084.237 ; 323 ; 5.121.194 ; 11.791 ; 231.205.432 ; 30.007 ; 566.472.080 ;
55;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 18 ; 154.492 ; 194 ; 1.786.943 ; 3.149 ; 116.147.022 ; 5.673 ; 260.954.757 ; 9.034 ; 379.043.214 ; 3.836 ; 166.623.482 ; 1.436 ; 15.245.650 ; 5.272 ; 181.869.132 ; 14.306 ; 560.912.346 ;
56;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 412 ; 7.871.609 ; 5.509 ; 126.018.562 ; 4.305 ; 58.041.179 ; 17.832 ; 132.645.553 ; 28.058 ; 324.576.903 ; 5.143 ; 204.431.397 ; 115 ; 11.742.282 ; 5.258 ; 216.173.679 ; 33.316 ; 540.750.582 ;
