Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em ABRIL / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
47;00.360.305;CAIXA ECONOMICA FEDERAL; 96 ; 14.782.505 ; 80 ; 4.497.644 ; 8.994 ; 41.605.536 ; 484 ; 49.928.189 ; 9.654 ; 110.813.874 ; 166 ; 55.648.339 ; 175 ; 54.460.377 ; 341 ; 110.108.716 ; 9.995 ; 220.922.590 ;
48;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 232 ; 5.948.245 ; 2.193 ; 50.739.545 ; 1.514 ; 15.208.118 ; 3.691 ; 41.877.537 ; 7.630 ; 113.773.445 ; 672 ; 84.434.923 ; 125 ; 12.868.848 ; 797 ; 97.303.771 ; 8.427 ; 211.077.216 ;
49;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 195 ; 4.724.941 ; 1.024 ; 36.919.297 ; 4.876 ; 27.324.496 ; 3.154 ; 48.458.314 ; 9.249 ; 117.427.048 ; 779 ; 72.525.757 ; 188 ; 19.192.564 ; 967 ; 91.718.321 ; 10.216 ; 209.145.369 ;
50;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 2 ; 33.821.724 ; 12 ; 803.950 ; 11 ; 5.216.816 ; 15 ; 255.794 ; 40 ; 40.098.284 ; 2 ; 63.947.056 ; 4 ; 103.773.740 ; 6 ; 167.720.796 ; 46 ; 207.819.080 ;
51;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 24 ; 74.838.283 ;;; 30 ; 14.791.883 ; 2 ; 82.799 ; 56 ; 89.712.965 ; 5 ; 85.000.000 ; 2 ; 500.584 ; 7 ; 85.500.584 ; 63 ; 175.213.549 ;
52;36.588.217;TRANSFERWISE BRASIL CORRETORA DE CÂMBIO LTDA.;;;;; 145 ; 134.512 ; 53.427 ; 48.181.213 ; 53.572 ; 48.315.725 ; 1.017 ; 85.621.033 ; 997 ; 37.574.175 ; 2.014 ; 123.195.208 ; 55.586 ; 171.510.934 ;
53;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 16 ; 25.711.201 ; 20 ; 9.261.391 ; 6 ; 47.051.940 ; 48 ; 1.361.136 ; 90 ; 83.385.668 ; 5 ; 9.784.705 ; 6 ; 67.784.375 ; 11 ; 77.569.080 ; 101 ; 160.954.748 ;
54;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 6 ; 32.125.200 ; 54 ; 15.187.108 ; 9 ; 30.621.449 ; 43 ; 11.712.987 ; 112 ; 89.646.745 ; 4 ; 18.000.000 ; 13 ; 53.250.000 ; 17 ; 71.250.000 ; 129 ; 160.896.745 ;
55;92.894.922;BANCO ORIGINAL S.A.; 3 ; 127.519 ; 8 ; 11.150.645 ; 43 ; 60.412.731 ; 92 ; 65.250.100 ; 146 ; 136.940.995 ; 9 ; 15.319.542 ; 6 ; 320.124 ; 15 ; 15.639.666 ; 161 ; 152.580.660 ;
56;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 32 ; 56.203.746 ; 33 ; 2.201.433 ; 52 ; 262.409 ; 70 ; 10.501.479 ; 187 ; 69.169.066 ; 33 ; 9.124.486 ; 29 ; 63.676.486 ; 62 ; 72.800.971 ; 249 ; 141.970.038 ;
57;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 712 ; 40.730.731 ; 915 ; 47.057.312 ; 470 ; 6.794.534 ; 343 ; 20.549.080 ; 2.440 ; 115.131.657 ; 13 ; 21.904.995 ; 1 ; 302.050 ; 14 ; 22.207.045 ; 2.454 ; 137.338.702 ;
58;30.723.886;BANCO MODAL S.A.; 1 ; 98.962 ; 36 ; 6.768.687 ; 83 ; 19.818.194 ; 96 ; 19.576.389 ; 216 ; 46.262.232 ; 4 ; 46.000.258 ; 3 ; 45.000.260 ; 7 ; 91.000.517 ; 223 ; 137.262.750 ;
59;15.114.366;BANCO BOCOM BBM S.A.; 8 ; 7.536.379 ; 58 ; 4.730.253 ; 25 ; 22.660.202 ; 168 ; 38.486.411 ; 259 ; 73.413.244 ; 4 ; 38.999.139 ; 5 ; 19.007.831 ; 9 ; 58.006.970 ; 268 ; 131.420.214 ;
60;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 19 ; 3.544.898 ; 60 ; 3.111.006 ; 3.337 ; 56.314.654 ; 224 ; 6.284.038 ; 3.640 ; 69.254.596 ; 89 ; 5.496.669 ; 164 ; 55.961.009 ; 253 ; 61.457.679 ; 3.893 ; 130.712.275 ;
61;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 6 ; 2.073.161 ; 143 ; 7.938.969 ; 160 ; 11.780.138 ; 649 ; 34.370.974 ; 958 ; 56.163.241 ; 192 ; 44.942.254 ; 98 ; 16.457.029 ; 290 ; 61.399.283 ; 1.248 ; 117.562.525 ;
62;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 169 ; 3.646.706 ; 1.566 ; 39.227.414 ; 280 ; 4.540.026 ; 1.203 ; 14.257.868 ; 3.218 ; 61.672.015 ; 550 ; 47.357.504 ; 19 ; 2.014.999 ; 569 ; 49.372.503 ; 3.787 ; 111.044.518 ;
63;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 208 ; 5.201.860 ; 1.212 ; 41.219.274 ; 455 ; 11.561.421 ; 568 ; 7.220.660 ; 2.443 ; 65.203.215 ; 463 ; 38.591.870 ; 69 ; 6.922.267 ; 532 ; 45.514.138 ; 2.975 ; 110.717.353 ;
64;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 89 ; 6.690.792 ; 364 ; 41.879.218 ; 453 ; 48.570.011 ; 90 ; 35.367.000 ; 2 ; 25.380.000 ; 92 ; 60.747.000 ; 545 ; 109.317.011 ;
65;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 99 ; 1.331.261 ; 1.200 ; 28.963.656 ; 448 ; 8.559.276 ; 1.017 ; 15.876.294 ; 2.764 ; 54.730.487 ; 662 ; 41.823.051 ; 52 ; 7.215.034 ; 714 ; 49.038.085 ; 3.478 ; 103.768.572 ;
