Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
26;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 42 ; 91.687.711 ; 31 ; 8.880.176 ; 17 ; 97.214.656 ; 119 ; 43.110.794 ; 209 ; 240.893.337 ; 23 ; 379.294.991 ; 28 ; 429.293.019 ; 51 ; 808.588.010 ; 260 ; 1.049.481.347 
27;78.632.767;BANCO OURINVEST S.A.; 147 ; 25.284.396 ; 1.381 ; 75.638.571 ; 681 ; 122.156.734 ; 2.413 ; 204.300.172 ; 4.622 ; 427.379.873 ; 743 ; 368.384.437 ; 11.943 ; 221.848.705 ; 12.686 ; 590.233.142 ; 17.308 ; 1.017.613.015 
28;49.336.860;ING BANK N.V.; 36 ; 212.449.050 ; 47 ; 1.451.035 ; 20 ; 25.226.554 ; 53 ; 34.803.044 ; 156 ; 273.929.684 ; 111 ; 289.901.795 ; 124 ; 449.876.005 ; 235 ; 739.777.800 ; 391 ; 1.013.707.484 
29;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 62 ; 50.503.481 ; 202 ; 38.881.874 ; 21 ; 167.619.245 ; 265 ; 197.411.508 ; 550 ; 454.416.109 ; 40 ; 255.480.670 ; 23 ; 203.931.127 ; 63 ; 459.411.797 ; 613 ; 913.827.906 
30;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 75 ; 3.622.298 ; 712 ; 41.520.718 ; 434 ; 96.831.040 ; 48.621 ; 126.645.234 ; 49.842 ; 268.619.290 ; 263 ; 334.596.919 ; 457 ; 266.293.903 ; 720 ; 600.890.821 ; 50.562 ; 869.510.111 
31;62.232.889;BANCO DAYCOVAL S.A.; 562 ; 96.694.862 ; 728 ; 45.772.109 ; 699 ; 130.633.693 ; 2.672 ; 196.163.705 ; 4.661 ; 469.264.369 ; 564 ; 196.185.520 ; 2.746 ; 165.854.146 ; 3.310 ; 362.039.666 ; 7.971 ; 831.304.035 
32;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 233 ; 5.526.197 ; 1.878 ; 67.524.155 ; 1.051 ; 72.943.296 ; 3.431 ; 79.950.935 ; 6.593 ; 225.944.583 ; 895 ; 331.191.450 ; 8.914 ; 265.529.597 ; 9.809 ; 596.721.047 ; 16.402 ; 822.665.630 
33;13.059.145;BEXS BANCO DE CÂMBIO S/A; 26 ; 166.836.991 ; 54 ; 1.083.121 ; 225 ; 101.826.530 ; 511 ; 231.213.892 ; 816 ; 500.960.533 ; 126 ; 137.720.137 ; 52 ; 174.350.213 ; 178 ; 312.070.350 ; 994 ; 813.030.883 
34;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 205 ; 209.323.308 ; 212 ; 357.358.988 ; 417 ; 566.682.296 ; 56 ; 181.874.000 ; 27 ; 33.849.052 ; 83 ; 215.723.052 ; 500 ; 782.405.348 
35;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 9 ; 3.144.456 ; 16 ; 10.376.604 ; 48 ; 39.297.621 ; 89 ; 71.855.387 ; 162 ; 124.674.069 ; 89 ; 308.806.231 ; 89 ; 276.793.728 ; 178 ; 585.599.959 ; 340 ; 710.274.027 
