Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mar/2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
26;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 16 ; 143.518.486 ; 6 ; 810.248 ; 49 ; 127.915.721 ; 132 ; 102.580.734 ; 203 ; 374.825.189 ; 278 ; 2.880.505.219 ; 290 ; 3.056.927.299 ; 568 ; 5.937.432.518 ; 771 ; 6.312.257.707 ;
27;02.801.938;BANCO MORGAN STANLEY S.A.; 52 ; 528.634.474 ; 205 ; 291.311.530 ; 461 ; 2.090.008.203 ; 629 ; 1.567.542.177 ; 1.347 ; 4.477.496.384 ; 18 ; 571.115.329 ; 37 ; 1.146.185.853 ; 55 ; 1.717.301.183 ; 1.402 ; 6.194.797.566 ;
28;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 298 ; 17.214.987 ; 2.703 ; 280.274.697 ; 909 ; 107.077.299 ; 30.318 ; 96.578.994 ; 34.228 ; 501.145.977 ; 1.117 ; 2.688.536.284 ; 1.373 ; 2.448.539.687 ; 2.490 ; 5.137.075.971 ; 36.718 ; 5.638.221.948 ;
29;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 298 ; 378.833.446 ; 522 ; 199.807.768 ; 231 ; 612.678.211 ; 482 ; 253.650.895 ; 1.533 ; 1.444.970.321 ; 297 ; 1.552.061.090 ; 334 ; 2.190.854.168 ; 631 ; 3.742.915.258 ; 2.164 ; 5.187.885.578 ;
30;62.232.889;BANCO DAYCOVAL S.A.; 789 ; 184.981.460 ; 2.391 ; 363.922.317 ; 153.009 ; 1.231.698.431 ; 135.455 ; 1.148.072.716 ; 291.644 ; 2.928.674.925 ; 1.264 ; 1.117.854.706 ; 4.540 ; 1.033.086.823 ; 5.804 ; 2.150.941.529 ; 297.448 ; 5.079.616.453 ;
31;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 16 ; 188.879.898 ; 35 ; 96.042.284 ; 49 ; 832.497.142 ; 416 ; 317.889.687 ; 516 ; 1.435.309.010 ; 89 ; 1.650.186.445 ; 110 ; 1.958.937.047 ; 199 ; 3.609.123.492 ; 715 ; 5.044.432.501 ;
32;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 364 ; 1.483.340.887 ; 438 ; 2.024.977.273 ; 802 ; 3.508.318.160 ; 59 ; 863.021.428 ; 29 ; 13.008.364 ; 88 ; 876.029.792 ; 890 ; 4.384.347.952 ;
33;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 13 ; 165.160.236 ;;; 13 ; 165.160.236 ; 4 ; 2.034.844.375 ; 4 ; 2.000.000.000 ; 8 ; 4.034.844.375 ; 21 ; 4.200.004.611 ;
34;68.900.810;BANCO RENDIMENTO S.A.; 28 ; 21.714.047 ; 314 ; 259.087.626 ; 235.546 ; 711.557.728 ; 11.495 ; 229.605.511 ; 247.383 ; 1.221.964.912 ; 4.043 ; 980.621.277 ; 20.200 ; 1.232.025.996 ; 24.243 ; 2.212.647.272 ; 271.626 ; 3.434.612.184 ;
35;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;;;;; 1.913.579 ; 883.430.015 ; 1.932.591 ; 860.576.237 ; 3.846.170 ; 1.744.006.252 ; 2.785 ; 462.550.973 ; 2.790 ; 485.406.773 ; 5.575 ; 947.957.746 ; 3.851.745 ; 2.691.963.998 ;
36;58.616.418;BANCO FIBRA S.A.; 189 ; 166.404.868 ; 1.398 ; 389.144.194 ; 135 ; 33.751.310 ; 1.324 ; 56.374.934 ; 3.046 ; 645.675.307 ; 274 ; 1.044.098.780 ; 248 ; 902.460.868 ; 522 ; 1.946.559.648 ; 3.568 ; 2.592.234.955 ;
37;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 200 ; 230.695.188 ; 681 ; 320.958.907 ; 1.187 ; 529.380.018 ; 2.861 ; 349.455.884 ; 4.929 ; 1.430.489.997 ; 204 ; 484.484.641 ; 207 ; 614.877.483 ; 411 ; 1.099.362.124 ; 5.340 ; 2.529.852.121 ;
38;15.114.366;BANCO BOCOM BBM S.A.; 13 ; 10.293.499 ; 125 ; 26.515.245 ; 103 ; 279.989.313 ; 655 ; 231.219.110 ; 896 ; 548.017.166 ; 62 ; 804.366.672 ; 95 ; 758.969.602 ; 157 ; 1.563.336.274 ; 1.053 ; 2.111.353.440 ;
39;71.027.866;BANCO BS2 S.A.; 844 ; 230.984.968 ; 3.335 ; 185.276.625 ; 23.052 ; 465.810.078 ; 30.928 ; 473.839.158 ; 58.159 ; 1.355.910.828 ; 92 ; 346.736.964 ; 102 ; 387.591.002 ; 194 ; 734.327.966 ; 58.353 ; 2.090.238.794 ;
40;13.059.145;BEXS BANCO DE CÂMBIO S/A; 65 ; 243.771.107 ; 188 ; 58.086.408 ; 37.053 ; 168.771.096 ; 294.870 ; 635.586.700 ; 332.176 ; 1.106.215.311 ; 1.034 ; 600.521.466 ; 147 ; 328.336.049 ; 1.181 ; 928.857.514 ; 333.357 ; 2.035.072.826 ;
41;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 193 ; 279.091.633 ; 713 ; 148.113.745 ; 74 ; 445.500.404 ; 533 ; 454.806.087 ; 1.513 ; 1.327.511.869 ; 105 ; 281.370.962 ; 91 ; 353.352.791 ; 196 ; 634.723.753 ; 1.709 ; 1.962.235.623 ;
42;07.656.500;BANCO KDB DO BRASIL S.A.; 1 ; 12.000.000 ; 10 ; 4.356.991 ; 375 ; 204.237.519 ; 829 ; 676.246.757 ; 1.215 ; 896.841.267 ; 99 ; 692.178.568 ; 110 ; 277.461.733 ; 209 ; 969.640.301 ; 1.424 ; 1.866.481.568 ;
43;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 72 ; 169.719.348 ;;; 95 ; 41.382.361 ; 7 ; 339.395 ; 174 ; 211.441.104 ;;; 19 ; 930.106.850 ; 19 ; 930.106.850 ; 193 ; 1.141.547.954 ;
44;00.997.185;BANCO B3 S.A.;;;;; 505 ; 375.813.352 ; 403 ; 380.206.804 ; 908 ; 756.020.156 ; 100 ; 111.319.626 ; 150 ; 106.975.969 ; 250 ; 218.295.594 ; 1.158 ; 974.315.750 ;
45;10.690.848;BANCO DA CHINA BRASIL S.A.; 65 ; 302.655.760 ; 28 ; 35.700.452 ; 89 ; 99.569.623 ; 248 ; 32.134.557 ; 430 ; 470.060.392 ; 106 ; 77.992.785 ; 174 ; 412.392.436 ; 280 ; 490.385.221 ; 710 ; 960.445.612 ;
